AccountID,CustomerID,AccountType,Balance,OpenDate,Status,BranchID
A00055,C00055,Savings,36497.82,2016-07-02,Active,B019
A00056,C00056,Current,55236.17,2023-04-04,Closed,B016
A00057,C00057,Current,47192.72,2020-01-18,Closed,B004
A00058,C00058,Current,1902.35,2017-03-23,Active,B014
A00059,C00059,Current,41949.13,2019-11-03,Dormant,B002
A00060,C00060,Current,46085.75,2022-02-25,Active,B004
A00061,C00061,Current,9097.86,2024-11-16,Closed,B011
A00062,C00062,Current,95372.83,2021-02-15,Active,B007
A00063,C00063,Current,15928.79,2022-01-04,Closed,B014
A00064,C00064,Savings,79658.76,2025-05-20,Active,B008
A00065,C00065,Savings,89411.29,2020-06-04,Closed,B004
A00066,C00066,Savings,70890.65,2022-12-02,Dormant,B001
A00067,C00067,Current,12392.87,2019-12-30,Active,B014
A00068,C00068,Savings,34489.21,2024-07-17,Dormant,B013
A00069,C00069,Savings,64724.64,2019-04-22,Dormant,B001
A00070,C00070,Savings,33801.54,2017-03-21,Closed,B010
A00071,C00071,Current,54503.5,2025-04-28,Active,B018
A00072,C00072,Savings,7889.94,2021-12-06,Closed,B005
A00073,C00073,Current,38110.89,2022-09-25,Dormant,B002
A00074,C00074,Current,63779.75,2021-08-02,Active,B002
A00075,C00075,Current,58472.01,2023-01-10,Active,B002
A00076,C00076,Savings,88071.67,2018-04-20,Dormant,B017
A00077,C00077,Savings,55886.12,2024-09-07,Dormant,B003
A00078,C00078,Savings,98306.67,2020-11-21,Closed,B003
A00079,C00079,Current,8778.98,2024-02-23,Dormant,B004
A00080,C00080,Savings,8931.71,2021-02-28,Closed,B020
A00081,C00081,Savings,97721.86,2019-05-20,Closed,B014
A00082,C00082,Current,55838.36,2016-07-13,Closed,B017
A00083,C00083,Current,774.93,2024-04-16,Closed,B011
A00084,C00084,Savings,47392.47,2024-06-06,Closed,B005
A00085,C00085,Current,48846.94,2021-10-06,Active,B015
A00086,C00086,Current,17469.73,2022-05-14,Dormant,B015
A00087,C00087,Current,65061.99,2019-02-03,Closed,B003
A00088,C00088,Savings,47393.91,2016-09-23,Dormant,B009
A00089,C00089,Savings,28855.64,2018-05-19,Active,B008
A00090,C00090,Current,97516.67,2023-06-01,Closed,B015
A00091,C00091,Current,73334.95,2020-02-26,Closed,B020
A00092,C00092,Current,45574.66,2021-07-18,Active,B018
A00093,C00093,Current,41522.24,2022-01-24,Closed,B005
A00094,C00094,Savings,33088.55,2015-09-12,Active,B018
A00095,C00095,Savings,3981.28,2025-03-15,Closed,B020
A00096,C00096,Savings,5598.54,2022-03-02,Dormant,B007
A00097,C00097,Savings,81616.58,2015-12-29,Dormant,B017
A00098,C00098,Current,3293.67,2017-01-24,Active,B003
A00099,C00099,Savings,37536.29,2022-04-02,Active,B002
A00100,C00100,Current,66679.82,2018-08-04,Closed,B009
A00101,C00101,Current,16765.5,2021-11-26,Closed,B018
A00102,C00102,Savings,70481.28,2017-04-19,Closed,B001
A00103,C00103,Savings,3760.82,2023-12-03,Active,B005
A00104,C00104,Savings,62200.35,2022-07-29,Dormant,B019
A00105,C00105,Current,90494.48,2020-08-26,Closed,B005
A00106,C00106,Current,27268.53,2023-02-26,Dormant,B002
A00107,C00107,Current,64180.37,2024-08-27,Closed,B008
A00108,C00108,Current,32468.47,2023-11-28,Closed,B018
A00109,C00109,Current,74942.53,2023-03-01,Dormant,B005
A00110,C00110,Savings,34981.59,2024-09-13,Dormant,B014
A00111,C00111,Current,67060.43,2023-09-10,Active,B011
A00112,C00112,Savings,28487.42,2025-05-03,Dormant,B008
A00113,C00113,Current,11744.08,2021-05-11,Closed,B004
A00114,C00114,Savings,44360.44,2021-01-25,Active,B008
A00115,C00115,Current,9745.11,2015-12-19,Active,B010
A00116,C00116,Savings,46129.3,2024-04-18,Closed,B007
A00117,C00117,Savings,86905.63,2025-05-18,Dormant,B003
A00118,C00118,Current,74285.08,2021-04-21,Closed,B017
A00119,C00119,Current,38242.39,2016-01-12,Active,B011
A00120,C00120,Current,76828.69,2016-12-16,Active,B006
A00121,C00121,Current,34678.75,2024-11-20,Active,B004
A00122,C00122,Current,30467.27,2021-01-03,Closed,B011
A00123,C00123,Savings,80093.89,2021-08-13,Closed,B004
A00124,C00124,Current,61730.01,2020-06-23,Dormant,B009
A00125,C00125,Savings,27865.73,2018-12-22,Closed,B001
A00126,C00126,Savings,51793.05,2017-10-24,Active,B007
A00127,C00127,Current,50579.92,2020-03-11,Active,B011
A00128,C00128,Current,73579.9,2017-02-23,Closed,B004
A00129,C00129,Current,44698.77,2019-11-16,Dormant,B010
A00130,C00130,Current,3167.51,2023-05-20,Closed,B013
A00131,C00131,Current,21305.42,2017-02-26,Dormant,B005
A00132,C00132,Current,76602.84,2018-05-17,Dormant,B013
A00133,C00133,Savings,97414.42,2016-10-09,Closed,B020
A00134,C00134,Savings,10168.54,2018-10-20,Active,B018
A00135,C00135,Savings,69301.71,2020-04-24,Active,B007
A00136,C00136,Current,80167.74,2022-02-08,Active,B011
A00137,C00137,Current,41330.67,2020-11-06,Dormant,B007
A00138,C00138,Current,59847.2,2021-07-20,Active,B006
A00139,C00139,Savings,24654.91,2016-09-06,Closed,B017
A00140,C00140,Current,12219.55,2022-10-01,Closed,B011
A00141,C00141,Savings,5705.37,2019-10-10,Closed,B010
A00142,C00142,Current,72459.7,2019-03-12,Active,B001
A00143,C00143,Current,69471.41,2022-03-28,Closed,B020
A00144,C00144,Savings,87819.65,2023-08-19,Active,B019
A00145,C00145,Savings,15205.77,2024-05-17,Dormant,B013
A00146,C00146,Current,15908.9,2016-10-06,Closed,B005
A00147,C00147,Current,66438.43,2024-04-01,Active,B004
A00148,C00148,Savings,33827.17,2020-06-14,Dormant,B017
A00149,C00149,Current,54891.57,2019-05-20,Active,B008
A00150,C00150,Current,92178.16,2019-03-30,Closed,B015
A00151,C00151,Savings,71967.03,2022-11-14,Active,B020
A00152,C00152,Savings,85459.58,2018-10-03,Dormant,B017
A00153,C00153,Current,97188.41,2019-07-28,Dormant,B006
A00154,C00154,Current,44962.22,2023-06-16,Dormant,B009
A00155,C00155,Savings,29821.4,2021-03-27,Closed,B017
A00156,C00156,Savings,93579.8,2024-06-20,Active,B009
A00157,C00157,Current,72245.29,2016-08-21,Dormant,B010
A00158,C00158,Current,98673.33,2021-07-20,Active,B011
A00159,C00159,Savings,26593.92,2020-03-18,Active,B005
A00160,C00160,Current,18724.57,2024-02-21,Dormant,B005
A00161,C00161,Savings,80962.88,2018-06-24,Dormant,B014
A00162,C00162,Savings,62338.73,2022-12-14,Active,B015
A00163,C00163,Current,44878.42,2023-02-18,Dormant,B014
A00164,C00164,Current,59173.19,2016-02-14,Closed,B001
A00165,C00165,Current,94100.47,2018-07-19,Dormant,B001
A00166,C00166,Current,28238.68,2018-10-06,Closed,B014
A00167,C00167,Current,88406.03,2023-07-28,Dormant,B018
A00168,C00168,Savings,23942.22,2022-06-17,Active,B008
A00169,C00169,Savings,91847.7,2017-11-22,Active,B001
A00170,C00170,Savings,41886.91,2022-02-26,Active,B013
A00171,C00171,Current,96274.82,2015-08-17,Dormant,B005
A00172,C00172,Savings,69690.26,2019-03-04,Dormant,B013
A00173,C00173,Savings,98793.18,2025-03-05,Closed,B001
A00174,C00174,Savings,25491.2,2015-12-09,Active,B005
A00175,C00175,Savings,11532.55,2015-09-20,Dormant,B009
A00176,C00176,Current,78868.78,2022-02-22,Dormant,B015
A00177,C00177,Savings,42482.27,2023-08-01,Closed,B009
A00178,C00178,Current,41008.79,2024-03-21,Active,B016
A00179,C00179,Current,41254.16,2016-11-05,Dormant,B002
A00180,C00180,Savings,70672.47,2019-02-04,Closed,B003
A00181,C00181,Savings,86847.23,2022-11-29,Active,B008
A00182,C00182,Current,3308.18,2020-05-16,Dormant,B005
A00183,C00183,Current,61522.27,2018-10-30,Closed,B004
A00184,C00184,Savings,86705.7,2023-01-17,Active,B009
A00185,C00185,Savings,38187.35,2019-01-18,Active,B020
A00186,C00186,Savings,45226.31,2021-10-09,Dormant,B006
A00187,C00187,Savings,25183.54,2019-06-09,Active,B001
A00188,C00188,Current,96042.08,2018-07-28,Active,B013
A00189,C00189,Current,7206.88,2016-03-28,Dormant,B003
A00190,C00190,Savings,28784.75,2018-05-22,Dormant,B008
A00191,C00191,Current,42127.8,2017-09-22,Active,B020
A00192,C00192,Savings,13440.82,2018-05-24,Active,B012
A00193,C00193,Savings,54588.83,2016-02-06,Active,B012
A00194,C00194,Current,54680.81,2021-09-19,Active,B011
A00195,C00195,Current,54188.84,2021-08-09,Active,B004
A00196,C00196,Current,41911.54,2018-01-17,Dormant,B015
A00197,C00197,Current,34998.33,2022-04-16,Closed,B006
A00198,C00198,Current,51603.14,2021-12-13,Dormant,B009
A00199,C00199,Savings,35687.12,2021-10-14,Dormant,B015
A00200,C00200,Current,8450.53,2020-08-13,Active,B009
A00201,C00201,Savings,63033.64,2016-08-17,Closed,B009
A00202,C00202,Savings,34189.56,2018-08-08,Active,B019
A00203,C00203,Savings,91529.58,2021-09-09,Closed,B011
A00204,C00204,Current,43562.73,2015-10-12,Active,B006
A00205,C00205,Current,83501.02,2017-12-06,Closed,B009
A00206,C00206,Current,39316.27,2022-07-12,Closed,B009
A00207,C00207,Current,17972.51,2017-11-02,Closed,B007
A00208,C00208,Savings,99356.8,2017-10-14,Closed,B014
A00209,C00209,Current,45176.25,2024-09-24,Active,B016
A00210,C00210,Current,15834.48,2024-11-02,Active,B015
A00211,C00211,Savings,67149.96,2023-10-19,Closed,B008
A00212,C00212,Savings,81541.88,2021-05-22,Closed,B010
A00213,C00213,Current,9571.5,2022-04-25,Closed,B016
A00214,C00214,Savings,21356.01,2019-10-21,Active,B014
A00215,C00215,Savings,21194.52,2025-05-17,Dormant,B012
A00216,C00216,Current,52533.95,2016-03-10,Dormant,B010
A00217,C00217,Savings,78870.98,2019-07-29,Closed,B007
A00218,C00218,Current,54741.44,2023-06-04,Active,B018
A00219,C00219,Current,94501.74,2024-04-11,Closed,B007
A00220,C00220,Current,19022.18,2016-02-11,Active,B019
A00221,C00221,Current,74008.71,2019-09-08,Active,B004
A00222,C00222,Savings,15379.55,2020-07-17,Closed,B012
A00223,C00223,Current,45159.16,2020-12-03,Active,B018
A00224,C00224,Current,44044.34,2016-09-29,Active,B002
A00225,C00225,Savings,40966.64,2022-04-05,Closed,B005
A00226,C00226,Savings,82475.96,2020-09-26,Dormant,B001
A00227,C00227,Current,81419.95,2022-02-03,Closed,B016
A00228,C00228,Current,48293.7,2019-07-12,Dormant,B002
A00229,C00229,Current,17761.68,2018-11-17,Closed,B003
A00230,C00230,Savings,85948.45,2018-12-11,Dormant,B019
A00231,C00231,Current,64609.51,2018-10-17,Active,B005
A00232,C00232,Savings,25841.61,2024-11-26,Active,B003
A00233,C00233,Current,53308.68,2021-04-27,Closed,B014
A00234,C00234,Current,22223.24,2024-07-06,Active,B008
A00235,C00235,Current,22452.32,2020-09-22,Closed,B015
A00236,C00236,Savings,17436.42,2017-11-22,Dormant,B010
A00237,C00237,Current,92316.7,2016-12-01,Active,B020
A00238,C00238,Current,71063.99,2019-09-02,Dormant,B007
A00239,C00239,Savings,76448.57,2024-10-28,Active,B006
A00240,C00240,Current,34547.2,2023-12-30,Dormant,B003
A00241,C00241,Current,52360.15,2021-04-12,Closed,B015
A00242,C00242,Savings,98119.85,2022-06-27,Dormant,B010
A00243,C00243,Current,65099.28,2019-07-05,Dormant,B010
A00244,C00244,Savings,10847.9,2018-02-21,Dormant,B008
A00245,C00245,Savings,36288.67,2019-07-11,Closed,B007
A00246,C00246,Current,63944.37,2024-03-28,Dormant,B008
A00247,C00247,Current,87009.78,2019-05-12,Dormant,B005
A00248,C00248,Savings,53000.52,2016-08-09,Dormant,B010
A00249,C00249,Current,61067.85,2017-10-29,Dormant,B010
A00250,C00250,Current,51732.48,2024-03-23,Dormant,B010
A00251,C00251,Current,50196.37,2022-05-19,Active,B017
A00252,C00252,Savings,19147.53,2021-07-30,Active,B003
A00253,C00253,Savings,96501.85,2021-06-30,Active,B011
A00254,C00254,Current,54664.12,2017-06-17,Dormant,B003
A00255,C00255,Current,53698.58,2016-08-01,Closed,B019
A00256,C00256,Current,3386.24,2021-05-15,Closed,B019
A00257,C00257,Current,89171.18,2018-07-27,Active,B017
A00258,C00258,Current,94031.67,2020-12-17,Closed,B006
A00259,C00259,Current,95909.26,2023-04-13,Dormant,B016
A00260,C00260,Current,3661.49,2021-07-15,Dormant,B014
A00261,C00261,Savings,63799.91,2017-03-09,Closed,B004
A00262,C00262,Current,21029.73,2025-03-07,Active,B016
A00263,C00263,Savings,94433.44,2017-01-25,Active,B018
A00264,C00264,Savings,86015.74,2020-07-08,Active,B011
A00265,C00265,Savings,69534.0,2020-10-01,Active,B013
A00266,C00266,Current,9566.18,2018-01-27,Dormant,B018
A00267,C00267,Savings,54658.02,2024-11-29,Active,B007
A00268,C00268,Current,42717.69,2017-12-19,Closed,B016
A00269,C00269,Savings,32386.61,2015-09-04,Closed,B007
A00270,C00270,Savings,4300.0,2019-05-29,Closed,B010
A00271,C00271,Savings,94691.25,2020-01-16,Dormant,B004
A00272,C00272,Savings,21067.25,2018-07-03,Dormant,B008
A00273,C00273,Savings,32944.7,2020-05-04,Dormant,B018
A00274,C00274,Savings,13365.39,2023-01-25,Closed,B003
A00275,C00275,Current,49354.72,2021-05-27,Closed,B004
A00276,C00276,Current,7552.34,2025-04-12,Dormant,B010
A00277,C00277,Current,36898.53,2021-07-24,Dormant,B014
A00278,C00278,Current,46536.66,2016-03-07,Closed,B015
A00279,C00279,Current,35668.6,2024-12-01,Dormant,B007
A00280,C00280,Current,57050.42,2021-12-23,Closed,B005
A00281,C00281,Current,97638.13,2024-02-15,Active,B011
A00282,C00282,Current,32758.91,2019-03-19,Closed,B010
A00283,C00283,Savings,68988.73,2020-03-09,Dormant,B019
A00284,C00284,Savings,56532.93,2017-09-15,Closed,B015
A00285,C00285,Savings,44589.49,2021-10-05,Dormant,B011
A00286,C00286,Current,87595.5,2020-08-06,Dormant,B015
A00287,C00287,Savings,56135.5,2021-02-25,Closed,B008
A00288,C00288,Current,94234.95,2017-03-08,Closed,B014
A00289,C00289,Current,13532.66,2021-04-11,Closed,B016
A00290,C00290,Current,14769.51,2022-05-17,Active,B005
A00291,C00291,Current,89474.9,2023-09-18,Closed,B017
A00292,C00292,Savings,77596.78,2024-08-06,Active,B015
A00293,C00293,Current,65186.08,2020-07-22,Active,B001
A00294,C00294,Savings,61220.71,2024-03-14,Closed,B005
A00295,C00295,Savings,9706.87,2017-04-05,Dormant,B011
A00296,C00296,Current,29891.92,2016-11-03,Dormant,B003
A00297,C00297,Current,15319.31,2016-12-30,Active,B013
A00298,C00298,Savings,79054.45,2025-04-29,Closed,B016
A00299,C00299,Savings,47621.64,2024-10-22,Dormant,B003
A00300,C00300,Current,46591.33,2020-03-24,Active,B010
A00301,C00301,Savings,30368.46,2020-08-08,Active,B014
A00302,C00302,Savings,82342.16,2024-10-25,Dormant,B004
A00303,C00303,Savings,17644.14,2024-06-04,Active,B010
A00304,C00304,Savings,73913.75,2018-09-25,Dormant,B002
A00305,C00305,Current,1455.89,2019-10-14,Closed,B014
A00306,C00306,Savings,58483.58,2021-09-19,Dormant,B014
A00307,C00307,Savings,29311.37,2024-09-30,Active,B006
A00308,C00308,Current,9480.29,2018-05-23,Closed,B013
A00309,C00309,Savings,82362.7,2025-01-21,Active,B016
A00310,C00310,Current,71983.8,2022-06-18,Closed,B015
A00311,C00311,Savings,35681.4,2023-02-13,Closed,B009
A00312,C00312,Current,58507.96,2017-03-01,Active,B010
A00313,C00313,Savings,28590.16,2016-02-23,Dormant,B003
A00314,C00314,Current,9309.79,2020-12-18,Closed,B010
A00315,C00315,Savings,90471.64,2020-05-17,Dormant,B009
A00316,C00316,Current,40960.31,2019-01-26,Active,B013
A00317,C00317,Savings,95503.78,2021-03-20,Active,B013
A00318,C00318,Savings,80091.66,2022-07-06,Closed,B010
A00319,C00319,Savings,26567.62,2021-06-14,Closed,B013
A00320,C00320,Current,47562.66,2023-12-20,Active,B002
A00321,C00321,Savings,60282.25,2025-07-10,Closed,B010
A00322,C00322,Current,69344.5,2022-04-01,Dormant,B008
A00323,C00323,Current,54913.04,2018-04-30,Active,B009
A00324,C00324,Savings,49610.1,2024-07-12,Dormant,B005
A00325,C00325,Savings,12039.47,2017-11-28,Active,B002
A00326,C00326,Savings,3079.03,2017-10-26,Active,B019
A00327,C00327,Savings,88343.69,2015-08-27,Closed,B003
A00328,C00328,Savings,50498.83,2024-01-10,Active,B014
A00329,C00329,Savings,9680.56,2018-01-17,Closed,B018
A00330,C00330,Current,56268.1,2025-03-17,Active,B009
A00331,C00331,Savings,55827.77,2025-07-13,Closed,B010
A00332,C00332,Savings,58050.37,2015-11-13,Closed,B015
A00333,C00333,Current,30550.85,2016-07-11,Dormant,B013
A00334,C00334,Savings,19231.46,2015-11-11,Closed,B013
A00335,C00335,Savings,67771.99,2018-07-18,Closed,B004
A00336,C00336,Savings,51557.13,2022-10-30,Active,B009
A00337,C00337,Savings,19623.23,2024-01-11,Dormant,B012
A00338,C00338,Savings,9862.97,2023-05-21,Active,B016
A00339,C00339,Savings,76157.35,2022-06-03,Closed,B011
A00340,C00340,Current,49161.08,2021-10-31,Dormant,B003
A00341,C00341,Savings,91172.72,2020-12-14,Active,B010
A00342,C00342,Savings,85896.63,2019-03-25,Active,B005
A00343,C00343,Savings,62028.87,2017-01-07,Closed,B016
A00344,C00344,Current,29410.94,2016-08-31,Dormant,B018
A00345,C00345,Savings,11645.44,2024-03-25,Closed,B012
A00346,C00346,Savings,78281.29,2024-12-08,Active,B018
A00347,C00347,Savings,27606.87,2017-08-01,Dormant,B005
A00348,C00348,Current,43270.8,2020-09-20,Dormant,B016
A00349,C00349,Savings,25982.13,2017-01-03,Closed,B002
A00350,C00350,Current,77109.7,2020-04-23,Dormant,B015
A00351,C00351,Savings,82724.45,2019-07-23,Dormant,B004
A00352,C00352,Current,35001.87,2020-09-05,Closed,B012
A00353,C00353,Savings,36131.54,2017-10-09,Closed,B007
A00354,C00354,Current,15626.37,2021-08-16,Active,B007
A00355,C00355,Current,75712.31,2023-04-05,Active,B001
A00356,C00356,Savings,39740.21,2017-08-15,Active,B005
A00357,C00357,Current,95988.26,2019-01-15,Closed,B018
A00358,C00358,Savings,9735.79,2023-02-22,Closed,B008
A00359,C00359,Savings,31888.0,2025-05-02,Closed,B001
A00360,C00360,Current,97667.1,2017-08-30,Active,B018
A00361,C00361,Savings,76089.37,2020-02-28,Closed,B001
A00362,C00362,Current,86041.51,2016-06-15,Active,B008
A00363,C00363,Savings,42740.29,2019-10-11,Dormant,B006
A00364,C00364,Savings,1859.59,2019-08-11,Closed,B014
A00365,C00365,Current,40558.07,2022-12-15,Closed,B003
A00366,C00366,Current,40022.7,2019-02-10,Closed,B017
A00367,C00367,Savings,86199.03,2015-07-29,Active,B017
A00368,C00368,Savings,22210.9,2024-02-01,Dormant,B017
A00369,C00369,Savings,3413.18,2018-04-13,Active,B001
A00370,C00370,Current,52530.04,2024-04-24,Active,B014
A00371,C00371,Savings,58209.78,2022-04-13,Active,B015
A00372,C00372,Current,65768.45,2022-05-15,Closed,B020
A00373,C00373,Current,20191.12,2021-02-24,Active,B009
A00374,C00374,Savings,30175.33,2023-12-14,Active,B018
A00375,C00375,Current,34095.7,2015-10-10,Closed,B020
A00376,C00376,Current,29668.68,2021-06-09,Closed,B017
A00377,C00377,Savings,62493.6,2019-05-19,Closed,B004
A00378,C00378,Savings,24718.88,2016-01-12,Dormant,B007
A00379,C00379,Savings,84152.6,2019-08-29,Dormant,B014
A00380,C00380,Savings,14642.99,2022-05-15,Dormant,B014
A00381,C00381,Savings,68746.73,2023-11-11,Closed,B014
A00382,C00382,Current,74398.1,2020-11-04,Dormant,B012
A00383,C00383,Current,99894.15,2021-08-04,Active,B003
A00384,C00384,Savings,62210.51,2016-04-06,Active,B014
A00385,C00385,Current,78281.44,2016-05-05,Active,B012
A00386,C00386,Current,52178.33,2016-07-04,Active,B019
A00387,C00387,Savings,43122.37,2021-05-28,Closed,B004
A00388,C00388,Savings,55006.51,2017-06-09,Dormant,B014
A00389,C00389,Savings,39939.74,2021-08-19,Closed,B020
A00390,C00390,Savings,14964.33,2020-04-21,Active,B019
A00391,C00391,Savings,3737.89,2020-02-19,Closed,B016
A00392,C00392,Savings,41413.86,2020-04-04,Dormant,B018
A00393,C00393,Current,52128.74,2018-10-08,Dormant,B019
A00394,C00394,Current,89909.31,2019-04-19,Dormant,B020
A00395,C00395,Current,73936.4,2024-03-22,Closed,B018
A00396,C00396,Current,10277.36,2019-09-27,Active,B009
A00397,C00397,Current,76789.03,2018-01-11,Active,B010
A00398,C00398,Savings,40332.31,2018-08-16,Active,B006
A00399,C00399,Current,33625.18,2023-03-26,Active,B013
A00400,C00400,Current,48338.2,2024-10-09,Active,B001
A00401,C00401,Savings,26384.74,2022-04-29,Closed,B007
A00402,C00402,Current,984.65,2022-12-12,Active,B011
A00403,C00403,Savings,75055.02,2023-10-21,Dormant,B011
A00404,C00404,Current,80025.68,2022-10-16,Dormant,B002
A00405,C00405,Current,18237.13,2016-08-03,Active,B002
A00406,C00406,Current,71278.26,2023-09-06,Closed,B015
A00407,C00407,Current,89217.43,2019-08-01,Active,B020
A00408,C00408,Current,54131.99,2016-09-20,Active,B007
A00409,C00409,Savings,31038.12,2015-12-31,Active,B014
A00410,C00410,Savings,87806.34,2024-07-12,Active,B019
A00411,C00411,Savings,51881.5,2018-03-16,Active,B010
A00412,C00412,Current,74977.32,2025-01-08,Active,B020
A00413,C00413,Current,34498.66,2023-03-14,Closed,B010
A00414,C00414,Current,38218.84,2018-05-08,Dormant,B010
A00415,C00415,Current,17957.27,2015-08-19,Dormant,B016
A00416,C00416,Savings,38287.6,2019-05-07,Dormant,B005
A00417,C00417,Savings,50233.27,2019-04-18,Active,B008
A00418,C00418,Current,80792.0,2018-12-20,Active,B012
A00419,C00419,Current,87789.86,2022-05-20,Closed,B002
A00420,C00420,Current,63372.39,2024-10-14,Dormant,B003
A00421,C00421,Current,99192.05,2019-11-06,Closed,B019
A00422,C00422,Current,67619.43,2023-06-29,Dormant,B014
A00423,C00423,Savings,1382.24,2025-01-20,Active,B001
A00424,C00424,Savings,9725.23,2016-09-08,Dormant,B015
A00425,C00425,Savings,15642.68,2025-02-12,Active,B014
A00426,C00426,Savings,96883.07,2016-01-21,Dormant,B019
A00427,C00427,Current,90756.16,2021-05-25,Closed,B013
A00428,C00428,Savings,69201.32,2021-10-12,Closed,B008
A00429,C00429,Current,74502.59,2020-02-07,Active,B017
A00430,C00430,Current,79885.33,2019-05-30,Active,B017
A00431,C00431,Current,65982.96,2023-02-27,Active,B005
A00432,C00432,Current,83854.34,2017-10-27,Closed,B009
A00433,C00433,Current,2636.87,2024-07-23,Closed,B005
A00434,C00434,Savings,26234.46,2018-11-20,Closed,B016
A00435,C00435,Savings,40935.56,2017-08-19,Dormant,B015
A00436,C00436,Savings,54587.78,2020-01-01,Active,B020
A00437,C00437,Savings,41480.39,2021-07-08,Closed,B005
A00438,C00438,Current,85685.19,2016-01-15,Active,B015
A00439,C00439,Savings,27871.91,2019-03-29,Closed,B019
A00440,C00440,Current,56416.31,2022-05-31,Active,B003
A00441,C00441,Current,81388.72,2020-11-26,Active,B002
A00442,C00442,Savings,69257.22,2019-05-30,Active,B003
A00443,C00443,Current,92831.28,2016-01-13,Dormant,B020
A00444,C00444,Current,87689.15,2017-06-19,Active,B019
A00445,C00445,Current,81224.45,2025-05-21,Closed,B015
A00446,C00446,Current,25880.76,2025-03-19,Closed,B011
A00447,C00447,Current,43060.8,2021-05-01,Dormant,B005
A00448,C00448,Current,14249.72,2018-02-25,Active,B011
A00449,C00449,Current,84335.66,2017-08-06,Closed,B006
A00450,C00450,Current,84551.71,2017-12-30,Active,B015
A00451,C00451,Current,34608.1,2015-11-30,Closed,B020
A00452,C00452,Savings,96739.3,2024-02-09,Active,B010
A00453,C00453,Current,96700.93,2020-07-29,Closed,B020
A00454,C00454,Savings,65011.92,2018-03-13,Dormant,B011
A00455,C00455,Savings,27454.76,2017-07-12,Dormant,B018
A00456,C00456,Current,69863.21,2016-02-22,Dormant,B009
A00457,C00457,Savings,23806.37,2020-06-07,Closed,B005
A00458,C00458,Savings,81703.41,2016-09-30,Closed,B005
