CardID,CustomerID,CardType,CreditLimit,IssueDate,ExpiryDate,Status,OutstandingBalance
CC00109,C00109,Platinum,50000,2021-07-23,2030-06-04,Blocked,47281.53
CC00110,C00110,Gold,150000,2024-05-27,2026-01-25,Active,14894.29
CC00111,C00111,Silver,150000,2022-03-12,2030-04-28,Blocked,40236.31
CC00116,C00116,Silver,150000,2020-11-18,2026-09-01,Blocked,13981.5
CC00119,C00119,Gold,150000,2021-09-04,2029-06-28,Blocked,43392.39
CC00120,C00120,Gold,150000,2020-08-07,2029-11-13,Blocked,14552.81
CC00122,C00122,Platinum,100000,2024-02-11,2027-12-25,Active,47740.23
CC00128,C00128,Gold,100000,2023-03-05,2028-04-01,Active,29162.09
CC00129,C00129,Platinum,50000,2023-07-30,2026-09-02,Active,39599.94
CC00130,C00130,Silver,150000,2023-12-21,2027-03-04,Blocked,32461.73
CC00135,C00135,Platinum,100000,2023-05-19,2025-09-24,Active,1206.03
CC00136,C00136,Gold,50000,2024-01-28,2030-07-07,Blocked,36567.46
CC00137,C00137,Platinum,150000,2022-09-25,2025-10-29,Active,34799.05
CC00138,C00138,Platinum,50000,2024-01-24,2029-01-02,Blocked,12234.38
CC00139,C00139,Gold,100000,2023-07-05,2027-09-14,Active,1929.63
CC00143,C00143,Silver,50000,2023-07-30,2025-11-05,Active,23694.44
CC00144,C00144,Gold,150000,2022-11-19,2027-11-24,Blocked,43187.58
CC00145,C00145,Gold,50000,2023-01-04,2029-03-01,Active,25180.59
CC00146,C00146,Gold,150000,2020-12-03,2027-05-21,Blocked,7098.62
CC00150,C00150,Platinum,150000,2024-04-12,2026-02-02,Active,46433.77
CC00151,C00151,Silver,150000,2021-11-27,2029-05-11,Blocked,10609.99
CC00152,C00152,Platinum,150000,2021-04-24,2028-05-07,Blocked,40278.76
CC00153,C00153,Silver,100000,2021-05-10,2029-05-07,Blocked,30831.6
CC00154,C00154,Silver,150000,2021-07-30,2030-07-03,Active,29270.7
CC00156,C00156,Silver,50000,2020-08-11,2029-03-29,Blocked,42753.78
CC00161,C00161,Platinum,150000,2022-06-26,2026-01-09,Active,28475.42
CC00164,C00164,Platinum,150000,2022-02-14,2028-10-16,Blocked,22646.74
CC00165,C00165,Silver,100000,2024-07-23,2028-01-06,Blocked,11514.96
CC00166,C00166,Platinum,50000,2021-05-28,2028-07-30,Blocked,573.55
CC00168,C00168,Platinum,50000,2024-07-03,2028-05-31,Blocked,452.48
CC00170,C00170,Gold,150000,2022-08-17,2028-01-27,Active,39041.4
CC00172,C00172,Platinum,100000,2020-10-25,2028-07-24,Active,39691.74
CC00174,C00174,Silver,100000,2023-12-14,2029-04-13,Active,49264.88
CC00175,C00175,Silver,150000,2022-01-17,2028-08-22,Blocked,6181.15
CC00177,C00177,Silver,50000,2022-08-02,2028-09-12,Blocked,21319.61
CC00178,C00178,Gold,150000,2021-08-09,2030-01-11,Active,6555.2
CC00180,C00180,Gold,50000,2021-03-09,2028-05-27,Blocked,14709.15
CC00181,C00181,Gold,150000,2022-12-16,2026-08-31,Blocked,16287.58
CC00182,C00182,Platinum,150000,2022-07-12,2027-08-03,Blocked,19899.65
CC00185,C00185,Platinum,50000,2021-10-09,2029-10-12,Blocked,45346.5
CC00188,C00188,Silver,50000,2021-12-23,2029-10-01,Active,49280.22
CC00191,C00191,Silver,150000,2021-02-09,2029-10-27,Active,9362.13
CC00192,C00192,Silver,50000,2022-03-10,2026-02-27,Blocked,20261.05
CC00193,C00193,Silver,100000,2021-08-29,2026-04-29,Blocked,22220.23
CC00195,C00195,Gold,100000,2024-06-07,2027-11-23,Blocked,47559.54
CC00199,C00199,Platinum,100000,2023-01-15,2026-08-07,Blocked,7717.54
CC00201,C00201,Platinum,100000,2023-05-04,2028-07-07,Blocked,40323.96
CC00203,C00203,Silver,150000,2024-05-12,2030-05-09,Blocked,45108.24
CC00204,C00204,Silver,50000,2021-11-17,2028-03-02,Blocked,20489.45
CC00205,C00205,Gold,150000,2024-06-29,2029-02-11,Active,36307.36
CC00206,C00206,Gold,100000,2020-07-24,2026-02-07,Blocked,23493.48
CC00207,C00207,Silver,50000,2024-07-20,2030-01-14,Active,8945.76
CC00208,C00208,Silver,50000,2021-07-11,2029-03-22,Blocked,15397.78
CC00209,C00209,Silver,50000,2023-11-25,2030-01-29,Active,12411.87
CC00210,C00210,Gold,50000,2024-07-09,2030-03-24,Blocked,5071.61
CC00214,C00214,Silver,150000,2021-08-12,2027-06-30,Active,7393.46
CC00216,C00216,Platinum,100000,2022-04-13,2028-11-26,Active,28851.12
CC00217,C00217,Gold,150000,2021-08-26,2030-01-30,Blocked,16664.97
CC00218,C00218,Platinum,150000,2021-09-15,2030-07-22,Blocked,4876.94
CC00220,C00220,Silver,150000,2021-10-15,2029-08-17,Active,21090.73
CC00223,C00223,Silver,150000,2022-03-24,2029-11-20,Active,20380.53
CC00226,C00226,Silver,100000,2022-09-21,2030-05-18,Active,2969.28
CC00230,C00230,Silver,50000,2023-12-27,2025-12-12,Active,20266.91
CC00231,C00231,Gold,150000,2020-12-04,2029-05-08,Blocked,47057.74
CC00233,C00233,Gold,150000,2021-07-01,2030-02-04,Active,20727.1
CC00236,C00236,Silver,50000,2023-06-07,2026-05-17,Active,39408.32
CC00237,C00237,Gold,100000,2020-11-15,2029-09-03,Blocked,28924.71
CC00238,C00238,Silver,50000,2022-02-04,2026-12-06,Active,32978.83
CC00239,C00239,Silver,150000,2022-01-11,2026-07-15,Active,43829.43
CC00240,C00240,Silver,150000,2023-01-13,2026-04-28,Blocked,25737.37
CC00242,C00242,Silver,50000,2021-04-02,2026-11-25,Active,32222.69
CC00243,C00243,Platinum,150000,2023-01-12,2025-08-09,Active,16817.27
CC00246,C00246,Gold,150000,2021-04-27,2029-10-14,Blocked,10613.37
CC00252,C00252,Silver,150000,2022-01-11,2026-04-02,Blocked,36597.96
CC00254,C00254,Silver,50000,2022-01-29,2026-07-17,Active,12639.34
CC00255,C00255,Silver,50000,2023-10-15,2027-12-16,Active,32647.38
CC00261,C00261,Platinum,50000,2022-04-15,2026-09-12,Active,41122.42
CC00266,C00266,Silver,150000,2021-11-07,2030-05-18,Blocked,18213.55
CC00267,C00267,Silver,150000,2023-01-09,2029-08-15,Active,46936.25
CC00268,C00268,Platinum,150000,2021-11-15,2025-09-23,Active,30774.63
CC00269,C00269,Gold,50000,2023-04-09,2029-10-09,Active,44958.76
CC00270,C00270,Platinum,100000,2024-02-04,2025-08-25,Blocked,15742.26
CC00272,C00272,Silver,100000,2022-09-27,2028-07-10,Active,35413.99
CC00273,C00273,Platinum,100000,2021-08-15,2029-03-15,Active,22819.83
CC00274,C00274,Gold,50000,2024-02-07,2027-09-24,Blocked,11306.45
CC00275,C00275,Silver,100000,2023-12-19,2027-03-23,Active,12634.42
CC00276,C00276,Silver,150000,2022-03-30,2029-10-04,Blocked,49534.23
CC00277,C00277,Gold,50000,2020-12-21,2026-05-24,Blocked,31832.69
CC00278,C00278,Gold,50000,2024-05-29,2030-05-28,Blocked,45493.56
CC00280,C00280,Platinum,50000,2023-07-21,2027-06-21,Blocked,10515.98
CC00281,C00281,Silver,100000,2021-10-22,2026-07-09,Blocked,13135.54
CC00282,C00282,Gold,100000,2024-03-11,2026-12-17,Active,35920.18
CC00283,C00283,Silver,50000,2021-12-30,2026-05-30,Blocked,46415.23
CC00288,C00288,Silver,50000,2022-04-13,2027-06-02,Active,29523.16
CC00289,C00289,Gold,50000,2022-09-11,2028-12-11,Blocked,1526.61
CC00292,C00292,Silver,150000,2021-09-25,2028-05-05,Blocked,48586.4
CC00293,C00293,Silver,100000,2024-04-24,2029-09-01,Active,1743.94
CC00294,C00294,Platinum,50000,2021-11-30,2028-09-24,Blocked,16748.91
CC00295,C00295,Platinum,50000,2024-05-12,2028-03-28,Blocked,33696.97
CC00298,C00298,Silver,100000,2021-05-29,2026-03-03,Blocked,31222.41
CC00299,C00299,Platinum,50000,2020-12-14,2028-05-22,Active,23642.31
CC00300,C00300,Silver,150000,2020-09-18,2026-10-03,Blocked,26739.69
CC00301,C00301,Platinum,100000,2021-07-25,2029-08-29,Blocked,48839.03
CC00303,C00303,Gold,100000,2023-09-16,2027-08-07,Blocked,46495.48
CC00305,C00305,Gold,50000,2021-04-21,2026-07-31,Active,34830.08
CC00307,C00307,Gold,100000,2023-08-25,2026-01-16,Active,16709.33
CC00309,C00309,Silver,150000,2022-04-21,2027-10-25,Blocked,30668.74
CC00311,C00311,Gold,50000,2020-12-21,2029-04-12,Active,30378.96
CC00315,C00315,Gold,50000,2021-10-27,2029-08-03,Blocked,31332.71
CC00316,C00316,Silver,100000,2023-08-25,2029-03-03,Blocked,34445.1
CC00317,C00317,Platinum,50000,2023-01-12,2028-05-09,Blocked,16154.91
CC00326,C00326,Gold,100000,2021-09-15,2026-10-08,Active,28976.23
CC00335,C00335,Platinum,50000,2021-08-31,2026-05-14,Blocked,1938.79
CC00340,C00340,Platinum,50000,2022-01-20,2028-01-16,Blocked,33978.36
CC00341,C00341,Silver,150000,2023-03-01,2028-07-16,Active,9366.3
CC00342,C00342,Platinum,100000,2022-06-29,2029-12-05,Blocked,9699.74
CC00346,C00346,Gold,50000,2024-01-27,2028-01-20,Active,10339.2
CC00349,C00349,Gold,100000,2022-04-07,2026-12-19,Active,28218.04
CC00351,C00351,Silver,100000,2021-02-20,2029-05-20,Active,35264.06
CC00352,C00352,Silver,100000,2022-11-09,2029-07-24,Active,39370.9
CC00353,C00353,Gold,50000,2022-04-17,2027-10-17,Active,35137.52
CC00360,C00360,Gold,100000,2022-10-31,2028-03-23,Active,24311.1
CC00361,C00361,Gold,50000,2022-08-21,2027-09-11,Active,4415.61
CC00364,C00364,Silver,100000,2022-10-30,2028-04-06,Blocked,32350.14
CC00366,C00366,Gold,150000,2024-06-15,2028-12-02,Blocked,37823.86
CC00368,C00368,Silver,50000,2022-07-31,2027-03-01,Blocked,41598.56
CC00369,C00369,Gold,100000,2021-10-08,2029-07-22,Active,12340.07
CC00370,C00370,Silver,150000,2022-02-27,2028-10-13,Blocked,11573.74
CC00373,C00373,Gold,150000,2022-09-13,2028-03-12,Blocked,31714.33
CC00375,C00375,Gold,100000,2022-04-05,2030-04-17,Active,2850.92
CC00376,C00376,Silver,50000,2020-09-05,2028-06-04,Blocked,451.96
CC00377,C00377,Gold,50000,2020-08-15,2030-04-13,Active,3766.0
CC00383,C00383,Silver,100000,2021-10-04,2029-06-24,Active,19996.69
CC00384,C00384,Platinum,50000,2023-10-03,2027-10-12,Active,7818.62
CC00385,C00385,Gold,50000,2021-02-16,2026-09-17,Active,26444.62
CC00386,C00386,Platinum,100000,2024-02-16,2029-09-08,Blocked,21931.53
CC00387,C00387,Platinum,150000,2024-07-18,2027-05-03,Active,19140.05
CC00388,C00388,Gold,50000,2024-01-17,2027-10-30,Blocked,26146.06
CC00389,C00389,Silver,100000,2024-03-03,2029-10-23,Active,4269.61
CC00394,C00394,Gold,50000,2023-07-24,2028-07-19,Blocked,19020.26
CC00396,C00396,Gold,150000,2023-12-17,2029-03-02,Active,23818.7
CC00399,C00399,Platinum,100000,2021-11-23,2025-07-26,Active,4457.66
CC00402,C00402,Platinum,50000,2023-02-28,2029-01-25,Active,11887.74
CC00407,C00407,Silver,150000,2020-09-26,2029-03-02,Blocked,48724.34
CC00410,C00410,Gold,50000,2023-01-26,2026-09-20,Blocked,7849.09
CC00416,C00416,Gold,100000,2024-04-27,2029-07-06,Active,46327.9
CC00417,C00417,Platinum,150000,2021-05-15,2028-06-20,Blocked,20209.92
CC00418,C00418,Silver,50000,2021-05-06,2028-08-16,Blocked,12614.57
CC00419,C00419,Platinum,150000,2021-09-07,2026-08-04,Blocked,30881.85
CC00421,C00421,Gold,100000,2024-01-22,2029-06-28,Active,9984.96
CC00426,C00426,Platinum,150000,2020-11-12,2028-02-20,Active,9270.22
CC00428,C00428,Silver,100000,2021-07-07,2028-02-14,Blocked,23766.28
CC00429,C00429,Silver,100000,2022-01-13,2029-08-25,Active,14865.97
CC00430,C00430,Platinum,50000,2022-06-25,2026-10-11,Blocked,15755.06
CC00431,C00431,Gold,100000,2023-06-19,2028-01-09,Active,12819.14
CC00432,C00432,Gold,150000,2020-12-16,2030-02-11,Active,21934.14
CC00433,C00433,Platinum,100000,2023-09-02,2026-09-22,Active,48086.52
CC00434,C00434,Silver,50000,2020-11-25,2030-02-02,Active,42019.17
CC00436,C00436,Silver,50000,2020-10-13,2029-07-03,Blocked,14194.92
CC00437,C00437,Silver,150000,2022-05-18,2027-04-04,Active,24648.27
CC00440,C00440,Silver,50000,2023-07-10,2027-08-12,Blocked,8443.71
CC00443,C00443,Silver,150000,2022-10-17,2029-03-26,Blocked,32021.66
CC00446,C00446,Silver,150000,2021-01-30,2029-12-02,Active,21333.05
CC00447,C00447,Platinum,150000,2023-03-29,2026-02-24,Blocked,22414.72
CC00455,C00455,Silver,150000,2023-05-09,2029-12-25,Active,8875.4
CC00456,C00456,Platinum,50000,2023-08-11,2029-04-01,Active,14714.9
CC00457,C00457,Platinum,100000,2020-10-01,2026-04-27,Active,7160.05
CC00461,C00461,Gold,50000,2020-11-07,2026-11-11,Blocked,42539.91
CC00462,C00462,Gold,100000,2022-09-04,2026-10-08,Blocked,45800.76
CC00468,C00468,Platinum,50000,2024-04-20,2027-02-25,Active,1280.72
CC00469,C00469,Platinum,50000,2024-03-02,2027-02-10,Active,36462.29
CC00472,C00472,Platinum,50000,2023-12-12,2026-11-20,Active,21016.49
CC00477,C00477,Gold,50000,2022-07-09,2027-06-24,Blocked,6275.23
CC00479,C00479,Gold,150000,2020-09-17,2030-01-13,Active,10421.02
CC00480,C00480,Silver,100000,2023-01-20,2028-11-27,Blocked,34477.6
CC00482,C00482,Gold,100000,2021-10-13,2026-04-02,Active,8134.1
CC00484,C00484,Silver,150000,2023-05-16,2025-08-14,Blocked,10952.85
CC00488,C00488,Gold,100000,2020-10-02,2029-08-17,Active,2858.62
CC00496,C00496,Silver,150000,2021-01-22,2028-08-18,Active,28933.17
CC00499,C00499,Silver,150000,2024-02-21,2029-04-01,Active,16844.16
CC00502,C00502,Platinum,100000,2024-04-03,2026-02-19,Active,8428.01
CC00503,C00503,Silver,150000,2023-08-11,2027-07-24,Blocked,20118.85
CC00505,C00505,Silver,150000,2021-03-19,2025-10-18,Active,26233.11
CC00507,C00507,Silver,150000,2022-12-03,2027-07-01,Blocked,45598.41
CC00513,C00513,Gold,100000,2021-09-17,2026-11-20,Blocked,33787.52
CC00515,C00515,Platinum,50000,2021-11-05,2028-02-24,Active,15796.56
CC00517,C00517,Platinum,100000,2023-04-24,2030-07-19,Blocked,14245.34
CC00518,C00518,Platinum,150000,2023-12-09,2029-03-21,Blocked,11435.44
CC00519,C00519,Silver,50000,2023-02-14,2025-09-02,Blocked,47131.04
CC00520,C00520,Silver,100000,2021-11-02,2027-06-05,Blocked,40065.65
CC00521,C00521,Gold,50000,2023-04-05,2028-01-16,Blocked,46673.3
CC00522,C00522,Silver,50000,2022-11-24,2027-06-19,Blocked,46001.18
CC00524,C00524,Silver,50000,2022-05-25,2025-08-12,Blocked,21936.76
CC00525,C00525,Platinum,100000,2022-12-11,2026-05-14,Active,38121.24
CC00527,C00527,Silver,50000,2022-08-25,2028-04-07,Blocked,42661.56
CC00529,C00529,Silver,100000,2023-09-02,2030-06-10,Active,852.42
CC00530,C00530,Silver,150000,2024-01-01,2027-05-11,Active,7471.64
CC00536,C00536,Gold,150000,2022-05-27,2029-03-12,Blocked,31247.4
CC00538,C00538,Platinum,50000,2021-03-10,2027-04-15,Active,23760.98
CC00541,C00541,Silver,150000,2023-09-27,2030-05-15,Blocked,9766.51
CC00547,C00547,Platinum,150000,2022-06-18,2027-05-13,Blocked,5317.52
CC00548,C00548,Platinum,150000,2023-03-27,2027-10-30,Blocked,49927.35
CC00553,C00553,Gold,100000,2020-11-09,2027-03-02,Blocked,35854.11
CC00556,C00556,Gold,150000,2021-12-01,2028-03-13,Active,17188.51
CC00557,C00557,Gold,150000,2024-02-17,2027-10-05,Active,6255.87
CC00559,C00559,Gold,100000,2022-06-16,2030-01-17,Blocked,10780.72
CC00561,C00561,Silver,150000,2020-10-30,2028-02-25,Blocked,38929.85
CC00562,C00562,Silver,100000,2021-05-06,2027-05-20,Blocked,26171.27
CC00564,C00564,Silver,100000,2021-06-19,2030-05-20,Blocked,49254.64
CC00565,C00565,Silver,50000,2022-04-09,2026-10-06,Blocked,17819.96
CC00566,C00566,Gold,150000,2022-02-19,2029-09-27,Blocked,5385.84
CC00572,C00572,Platinum,100000,2022-08-02,2027-02-14,Blocked,47530.91
CC00574,C00574,Platinum,50000,2024-04-14,2027-11-07,Blocked,2493.16
CC00575,C00575,Silver,50000,2024-05-27,2029-10-01,Blocked,40671.96
CC00577,C00577,Platinum,150000,2023-04-16,2026-09-02,Blocked,46173.41
CC00578,C00578,Platinum,150000,2022-09-06,2030-07-24,Active,10734.37
CC00580,C00580,Gold,100000,2023-03-05,2030-07-16,Active,3256.55
CC00581,C00581,Silver,50000,2022-06-27,2027-12-15,Blocked,9673.04
CC00586,C00586,Platinum,150000,2023-06-02,2027-12-27,Blocked,7897.59
CC00587,C00587,Platinum,100000,2023-09-30,2029-02-03,Active,31918.87
CC00589,C00589,Gold,50000,2023-01-29,2028-02-12,Active,30932.66
CC00591,C00591,Silver,150000,2021-12-28,2028-08-18,Blocked,34287.61
CC00592,C00592,Platinum,100000,2023-05-17,2026-12-04,Blocked,1362.78
CC00594,C00594,Gold,100000,2021-12-20,2028-02-04,Blocked,17362.84
CC00595,C00595,Platinum,50000,2022-12-17,2027-02-22,Active,1577.89
CC00596,C00596,Platinum,150000,2022-11-14,2027-03-18,Blocked,26698.35
CC00599,C00599,Gold,150000,2022-10-31,2029-02-08,Active,921.77
CC00600,C00600,Platinum,150000,2022-06-07,2028-03-12,Blocked,32335.45
CC00601,C00601,Gold,100000,2021-08-15,2028-05-24,Blocked,6776.4
CC00602,C00602,Silver,150000,2022-07-27,2030-04-05,Active,10544.19
CC00603,C00603,Gold,50000,2023-04-19,2030-07-14,Blocked,49978.54
CC00605,C00605,Gold,50000,2022-05-31,2027-07-26,Blocked,1372.27
CC00607,C00607,Silver,100000,2023-10-29,2027-12-08,Active,47957.55
CC00613,C00613,Gold,100000,2021-07-18,2027-09-06,Blocked,5434.48
CC00614,C00614,Platinum,100000,2021-01-10,2025-11-12,Blocked,25372.15
CC00616,C00616,Platinum,150000,2021-10-04,2029-12-21,Active,37387.42
CC00619,C00619,Platinum,100000,2021-07-06,2025-08-15,Active,41584.95
CC00620,C00620,Platinum,150000,2022-08-05,2028-07-08,Active,8354.52
CC00624,C00624,Platinum,50000,2020-12-20,2028-04-22,Active,6968.71
CC00625,C00625,Gold,150000,2021-09-20,2029-06-10,Blocked,1224.7
CC00627,C00627,Gold,150000,2023-11-02,2027-07-28,Blocked,24243.3
CC00628,C00628,Platinum,150000,2021-05-03,2028-03-14,Active,34752.73
CC00629,C00629,Silver,150000,2022-07-28,2028-07-12,Active,13003.48
CC00630,C00630,Gold,150000,2022-12-19,2027-07-12,Blocked,28320.84
CC00633,C00633,Platinum,50000,2022-09-14,2028-05-01,Blocked,41134.93
CC00634,C00634,Platinum,50000,2023-09-20,2030-06-19,Blocked,9291.33
CC00635,C00635,Gold,150000,2023-12-09,2025-08-30,Active,31027.64
CC00636,C00636,Silver,150000,2021-08-22,2028-02-16,Blocked,40498.23
CC00637,C00637,Gold,50000,2021-05-31,2026-11-20,Active,19603.53
CC00640,C00640,Silver,100000,2020-12-28,2025-12-26,Active,18924.36
CC00641,C00641,Gold,150000,2020-10-27,2030-06-30,Blocked,32939.15
CC00647,C00647,Gold,100000,2020-12-17,2026-08-31,Blocked,31334.48
CC00648,C00648,Silver,100000,2024-02-09,2027-12-20,Active,30048.92
CC00649,C00649,Gold,50000,2021-10-27,2025-09-16,Blocked,6454.69
CC00651,C00651,Silver,100000,2024-07-09,2029-12-17,Active,38591.85
CC00652,C00652,Gold,50000,2022-12-21,2028-05-09,Active,38249.05
CC00653,C00653,Platinum,100000,2022-12-20,2026-08-19,Blocked,24564.0
CC00654,C00654,Platinum,50000,2021-01-19,2027-05-26,Active,25531.3
CC00660,C00660,Gold,150000,2024-01-26,2029-02-28,Blocked,40253.98
CC00664,C00664,Platinum,150000,2021-10-07,2029-02-07,Active,34528.87
CC00665,C00665,Platinum,50000,2020-08-18,2027-01-07,Blocked,21606.16
CC00667,C00667,Platinum,150000,2023-04-24,2028-03-08,Active,34671.24
CC00668,C00668,Silver,100000,2023-12-26,2027-08-01,Blocked,35048.62
CC00669,C00669,Silver,100000,2024-03-01,2029-01-17,Active,27587.06
CC00672,C00672,Platinum,150000,2023-12-06,2026-11-29,Active,14731.37
CC00673,C00673,Gold,50000,2022-03-12,2026-06-22,Blocked,8523.05
CC00674,C00674,Silver,50000,2023-04-23,2025-08-22,Blocked,3853.56
CC00675,C00675,Silver,150000,2021-01-19,2027-09-18,Active,27620.29
CC00676,C00676,Platinum,150000,2023-05-11,2025-10-26,Active,26314.01
CC00678,C00678,Gold,150000,2023-07-05,2029-06-12,Blocked,22117.03
CC00679,C00679,Platinum,50000,2020-11-06,2029-02-14,Active,44434.85
CC00681,C00681,Gold,150000,2023-12-20,2027-12-30,Active,21540.27
CC00683,C00683,Gold,100000,2021-05-14,2030-05-19,Blocked,1286.79
CC00686,C00686,Silver,150000,2023-11-15,2030-03-08,Active,30067.71
CC00694,C00694,Gold,150000,2022-10-25,2027-12-16,Blocked,7169.77
CC00695,C00695,Gold,100000,2024-06-29,2030-04-22,Active,9053.52
CC00696,C00696,Gold,100000,2022-12-02,2030-01-17,Blocked,4617.58
CC00698,C00698,Platinum,50000,2023-01-06,2029-11-11,Active,7247.48
CC00699,C00699,Gold,50000,2021-04-30,2025-12-24,Blocked,8101.26
CC00700,C00700,Gold,50000,2023-04-28,2025-09-08,Active,41719.63
CC00701,C00701,Silver,50000,2023-09-24,2028-08-03,Blocked,35471.47
CC00704,C00704,Platinum,50000,2023-06-03,2029-05-08,Blocked,40058.53
CC00705,C00705,Gold,150000,2021-12-28,2029-11-21,Active,35340.16
CC00707,C00707,Gold,100000,2023-08-07,2028-11-11,Active,3983.67
CC00709,C00709,Silver,150000,2021-10-23,2028-11-02,Blocked,40821.91
CC00712,C00712,Silver,50000,2022-09-21,2025-10-18,Blocked,7035.22
CC00713,C00713,Platinum,150000,2022-04-06,2026-08-15,Blocked,25216.36
CC00714,C00714,Silver,50000,2022-07-21,2027-09-23,Active,37061.8
CC00715,C00715,Silver,150000,2023-09-24,2028-10-22,Blocked,30831.07
CC00716,C00716,Silver,100000,2023-11-02,2026-04-25,Blocked,36856.64
CC00718,C00718,Platinum,50000,2020-12-04,2027-06-20,Blocked,12292.98
CC00722,C00722,Silver,100000,2022-06-14,2025-08-27,Blocked,47426.38
CC00723,C00723,Silver,100000,2022-12-15,2029-10-25,Blocked,12513.26
CC00725,C00725,Silver,50000,2022-01-22,2029-12-26,Blocked,12637.49
CC00728,C00728,Platinum,50000,2024-07-07,2028-09-05,Active,18650.25
CC00731,C00731,Platinum,50000,2021-03-05,2027-05-14,Active,26275.73
CC00734,C00734,Gold,50000,2023-05-27,2026-07-24,Blocked,13672.22
CC00735,C00735,Gold,100000,2021-06-13,2030-02-16,Blocked,14370.91
CC00739,C00739,Gold,100000,2020-09-16,2028-07-04,Blocked,24970.92
CC00740,C00740,Platinum,100000,2023-05-08,2026-11-16,Active,47298.53
CC00746,C00746,Gold,100000,2023-05-04,2029-12-17,Blocked,26202.33
CC00749,C00749,Silver,50000,2023-07-03,2026-04-07,Blocked,7557.67
CC00753,C00753,Platinum,100000,2023-09-28,2028-10-10,Active,4500.68
CC00755,C00755,Silver,100000,2023-07-29,2027-05-03,Active,19416.39
CC00758,C00758,Gold,150000,2021-04-11,2030-07-19,Blocked,45191.9
CC00759,C00759,Silver,150000,2022-10-21,2027-10-01,Blocked,14429.87
CC00761,C00761,Silver,50000,2020-08-12,2029-08-03,Blocked,34735.68
CC00762,C00762,Silver,50000,2020-12-31,2028-05-22,Active,23939.59
