ProductID,CustomerID,ProductType,Amount,TenureMonths,EMI,StartDate,EndDate,Status
P00412,C00412,Personal Loan,250000,12,1741.48,2023-05-02,2028-04-19,Defaulted
P00413,C00413,Car Insurance,50000,120,3208.29,2023-06-28,2028-05-14,Defaulted
P00414,C00414,Personal Loan,100000,120,5438.17,2021-11-02,2026-04-20,Defaulted
P00415,C00415,Car Insurance,250000,12,6113.26,2023-03-27,2027-06-13,Closed
P00416,C00416,Health Insurance,100000,12,4754.92,2021-01-12,2028-03-09,Defaulted
P00419,C00419,Home Loan,500000,60,8370.38,2020-12-26,2028-07-29,Active
P00420,C00420,Health Insurance,500000,24,4557.09,2021-05-14,2025-08-15,Active
P00426,C00426,Car Insurance,50000,24,9118.91,2024-01-29,2027-02-04,Active
P00427,C00427,Car Insurance,50000,24,3522.64,2021-09-27,2030-01-25,Active
P00428,C00428,Car Insurance,100000,12,2650.49,2020-08-29,2026-02-13,Defaulted
P00430,C00430,Car Insurance,250000,12,1950.65,2021-11-05,2027-06-22,Active
P00434,C00434,Personal Loan,250000,120,6848.76,2022-04-05,2025-09-21,Defaulted
P00435,C00435,Home Loan,100000,24,1857.57,2022-07-20,2026-11-16,Active
P00440,C00440,Car Insurance,500000,12,8477.73,2021-09-06,2028-03-12,Closed
P00441,C00441,Car Insurance,100000,12,6560.31,2023-08-23,2030-02-14,Closed
P00442,C00442,Home Loan,100000,24,1871.59,2022-01-05,2026-04-24,Defaulted
P00449,C00449,Personal Loan,100000,12,3967.42,2021-07-20,2029-10-06,Active
P00452,C00452,Car Insurance,50000,12,7032.94,2023-06-13,2028-05-31,Active
P00456,C00456,Personal Loan,250000,12,4458.89,2021-02-05,2028-07-25,Closed
P00458,C00458,Car Insurance,250000,120,7066.57,2022-01-22,2026-12-22,Active
P00468,C00468,Personal Loan,50000,120,3703.22,2023-05-31,2029-12-30,Active
P00469,C00469,Personal Loan,500000,24,5671.82,2021-06-19,2028-07-05,Defaulted
P00470,C00470,Personal Loan,500000,24,7888.59,2023-04-12,2029-01-08,Defaulted
P00474,C00474,Home Loan,50000,60,2965.62,2023-11-24,2026-11-09,Active
P00475,C00475,Personal Loan,250000,120,6978.97,2023-05-25,2029-12-06,Defaulted
P00479,C00479,Personal Loan,50000,60,2651.88,2021-03-19,2028-01-18,Active
P00480,C00480,Home Loan,250000,12,2542.19,2022-06-03,2029-10-14,Active
P00483,C00483,Car Insurance,250000,12,2305.26,2021-10-03,2026-03-03,Closed
P00496,C00496,Personal Loan,500000,12,3289.0,2021-08-15,2030-02-26,Defaulted
P00497,C00497,Personal Loan,500000,12,1798.0,2024-05-15,2029-01-03,Defaulted
P00500,C00500,Health Insurance,50000,12,5807.28,2023-08-22,2030-03-15,Closed
P00502,C00502,Car Insurance,500000,60,1175.23,2022-08-10,2026-05-04,Active
P00504,C00504,Car Insurance,50000,12,6680.02,2023-06-09,2027-03-21,Closed
P00506,C00506,Health Insurance,250000,120,2359.69,2024-05-23,2025-11-18,Active
P00511,C00511,Personal Loan,500000,120,8516.34,2022-08-03,2026-03-19,Closed
P00512,C00512,Health Insurance,50000,120,2171.21,2023-10-28,2028-10-28,Active
P00515,C00515,Home Loan,500000,24,7419.42,2021-07-06,2027-08-10,Active
P00519,C00519,Home Loan,500000,60,4344.89,2021-01-26,2026-03-13,Defaulted
P00520,C00520,Personal Loan,50000,60,7846.7,2021-08-26,2030-07-08,Defaulted
P00523,C00523,Home Loan,100000,12,4468.51,2023-05-12,2028-06-28,Defaulted
P00525,C00525,Personal Loan,500000,120,8393.83,2022-02-09,2025-12-16,Closed
P00528,C00528,Car Insurance,50000,12,4439.27,2024-02-22,2029-01-15,Defaulted
P00532,C00532,Home Loan,250000,12,6967.59,2024-03-16,2026-11-09,Defaulted
P00535,C00535,Car Insurance,500000,120,3006.17,2023-02-21,2026-10-21,Active
P00537,C00537,Home Loan,250000,24,8758.11,2020-10-29,2028-05-31,Active
P00538,C00538,Health Insurance,100000,60,9874.87,2022-06-22,2026-03-12,Closed
P00540,C00540,Car Insurance,500000,60,7894.34,2022-06-27,2028-04-30,Defaulted
P00542,C00542,Home Loan,50000,60,3049.28,2024-05-23,2026-11-08,Defaulted
P00544,C00544,Health Insurance,250000,12,5069.38,2024-05-11,2028-07-05,Closed
P00546,C00546,Car Insurance,500000,120,3091.11,2021-01-20,2026-12-26,Defaulted
P00548,C00548,Car Insurance,250000,12,6717.54,2022-04-03,2028-12-05,Defaulted
P00552,C00552,Home Loan,50000,60,4197.98,2021-12-02,2027-06-05,Defaulted
P00559,C00559,Health Insurance,50000,60,6887.11,2021-07-03,2026-10-08,Closed
P00560,C00560,Personal Loan,250000,120,3885.8,2022-09-27,2030-04-19,Closed
P00561,C00561,Personal Loan,250000,120,1988.41,2021-03-19,2030-04-13,Active
P00563,C00563,Home Loan,250000,60,1225.03,2023-01-02,2026-05-19,Closed
P00565,C00565,Car Insurance,100000,60,6017.65,2022-08-23,2028-01-28,Defaulted
P00568,C00568,Personal Loan,500000,12,2458.11,2024-04-02,2029-03-14,Active
P00572,C00572,Personal Loan,500000,24,6292.08,2021-11-13,2025-09-17,Closed
P00575,C00575,Home Loan,50000,24,8673.09,2020-12-17,2026-04-04,Closed
P00576,C00576,Car Insurance,250000,60,5293.0,2023-03-10,2029-04-14,Active
P00577,C00577,Health Insurance,50000,12,9598.67,2023-05-12,2028-05-13,Closed
P00581,C00581,Personal Loan,100000,120,3100.29,2023-11-17,2027-11-22,Defaulted
P00582,C00582,Home Loan,50000,120,7711.1,2023-06-01,2027-12-06,Defaulted
P00583,C00583,Health Insurance,250000,12,3292.51,2022-11-23,2027-12-17,Closed
P00584,C00584,Home Loan,500000,120,8374.03,2023-09-19,2026-03-14,Closed
P00585,C00585,Personal Loan,50000,24,1573.37,2023-09-22,2028-06-11,Defaulted
P00586,C00586,Health Insurance,100000,24,4569.47,2024-05-01,2029-05-02,Active
P00589,C00589,Personal Loan,250000,12,3232.7,2021-10-18,2029-05-28,Closed
P00591,C00591,Car Insurance,250000,60,8225.77,2020-11-12,2029-01-12,Defaulted
P00592,C00592,Car Insurance,50000,120,5173.39,2023-07-15,2028-04-09,Closed
P00593,C00593,Car Insurance,100000,60,3736.35,2022-04-18,2026-04-11,Defaulted
P00598,C00598,Personal Loan,500000,24,6691.93,2023-05-16,2030-05-17,Closed
P00602,C00602,Car Insurance,100000,120,8020.61,2022-05-02,2025-12-10,Closed
P00604,C00604,Health Insurance,100000,12,8471.59,2022-03-25,2027-11-27,Active
P00611,C00611,Health Insurance,100000,60,7221.83,2023-11-04,2027-11-10,Defaulted
P00615,C00615,Personal Loan,250000,12,9568.48,2022-06-28,2029-07-13,Defaulted
P00624,C00624,Health Insurance,50000,12,6144.3,2021-10-11,2030-01-19,Active
P00625,C00625,Home Loan,100000,12,5813.4,2022-04-26,2027-12-24,Active
P00626,C00626,Health Insurance,50000,120,9850.87,2023-12-12,2027-02-24,Closed
P00629,C00629,Personal Loan,250000,60,4666.57,2023-01-07,2028-09-29,Closed
P00632,C00632,Car Insurance,100000,12,1330.22,2023-07-31,2028-12-23,Active
P00635,C00635,Personal Loan,50000,120,1462.25,2023-08-23,2028-07-18,Active
P00636,C00636,Home Loan,100000,12,5257.31,2022-01-10,2026-04-13,Defaulted
P00637,C00637,Personal Loan,500000,12,8573.57,2022-04-23,2027-05-09,Closed
P00640,C00640,Car Insurance,100000,60,7359.87,2024-01-14,2027-10-05,Active
P00641,C00641,Car Insurance,100000,12,5569.53,2024-07-17,2027-02-09,Active
P00643,C00643,Home Loan,500000,24,2555.25,2022-03-10,2025-10-12,Closed
P00644,C00644,Health Insurance,50000,12,8387.7,2024-06-18,2026-07-13,Closed
P00646,C00646,Health Insurance,250000,60,9749.0,2022-04-22,2026-06-29,Active
P00650,C00650,Personal Loan,50000,120,4836.51,2020-09-27,2028-08-24,Defaulted
P00658,C00658,Car Insurance,250000,60,1088.08,2023-02-13,2028-04-07,Defaulted
P00659,C00659,Personal Loan,50000,12,1332.78,2022-07-25,2029-07-22,Closed
P00660,C00660,Personal Loan,500000,120,7081.6,2023-05-26,2027-02-20,Defaulted
P00661,C00661,Health Insurance,500000,60,6573.16,2022-02-09,2025-11-20,Active
P00663,C00663,Car Insurance,500000,120,3990.9,2021-11-18,2029-06-10,Defaulted
P00664,C00664,Personal Loan,500000,24,1446.9,2021-04-21,2027-03-02,Active
P00671,C00671,Car Insurance,50000,24,1668.05,2021-03-31,2030-07-14,Active
P00672,C00672,Personal Loan,50000,120,6118.29,2024-01-26,2025-11-06,Closed
P00673,C00673,Personal Loan,100000,24,9883.57,2022-10-27,2029-05-24,Active
P00674,C00674,Home Loan,250000,120,9119.61,2021-10-24,2025-08-05,Defaulted
P00678,C00678,Car Insurance,500000,120,6086.9,2022-05-09,2029-11-08,Defaulted
P00681,C00681,Car Insurance,50000,24,8247.3,2023-04-22,2028-06-20,Active
P00682,C00682,Home Loan,250000,120,5124.92,2022-03-01,2027-07-04,Defaulted
P00683,C00683,Home Loan,500000,12,9020.94,2022-10-14,2029-10-18,Closed
P00687,C00687,Home Loan,500000,60,6847.24,2020-12-12,2029-04-30,Defaulted
P00688,C00688,Health Insurance,50000,12,3935.88,2021-12-27,2026-08-17,Active
P00691,C00691,Car Insurance,100000,60,6854.53,2022-10-29,2026-02-20,Defaulted
P00692,C00692,Home Loan,50000,60,7324.47,2024-02-20,2026-11-19,Defaulted
P00693,C00693,Home Loan,50000,60,7781.05,2022-05-17,2025-09-23,Defaulted
P00694,C00694,Car Insurance,100000,12,4407.25,2022-03-16,2029-06-08,Active
P00696,C00696,Personal Loan,50000,60,2254.66,2020-07-27,2026-10-11,Closed
P00697,C00697,Personal Loan,500000,120,5966.45,2022-09-26,2026-12-24,Active
P00699,C00699,Car Insurance,50000,60,5938.54,2020-12-05,2026-12-31,Active
P00700,C00700,Personal Loan,250000,120,1363.38,2023-11-11,2028-07-19,Defaulted
P00704,C00704,Home Loan,50000,60,5072.46,2022-04-30,2029-07-06,Active
P00706,C00706,Health Insurance,50000,60,2932.11,2024-05-10,2028-02-06,Active
P00709,C00709,Home Loan,500000,12,4262.21,2021-07-01,2026-05-12,Active
P00710,C00710,Home Loan,500000,120,4328.39,2021-05-20,2030-02-16,Defaulted
P00714,C00714,Health Insurance,500000,12,8071.71,2021-09-06,2027-11-21,Closed
P00716,C00716,Health Insurance,50000,120,4783.67,2020-11-01,2029-07-31,Active
P00721,C00721,Home Loan,100000,60,5179.56,2021-05-27,2030-04-21,Defaulted
P00722,C00722,Personal Loan,50000,24,6552.61,2022-06-25,2027-03-05,Defaulted
P00724,C00724,Personal Loan,50000,24,2228.75,2023-01-12,2026-01-12,Active
P00727,C00727,Car Insurance,50000,12,4336.94,2023-02-06,2025-07-26,Closed
P00728,C00728,Car Insurance,250000,24,1352.58,2020-12-19,2030-03-12,Active
P00729,C00729,Car Insurance,50000,120,8950.58,2023-07-24,2030-04-15,Defaulted
P00731,C00731,Personal Loan,250000,120,5915.62,2024-03-21,2025-10-17,Defaulted
P00733,C00733,Health Insurance,250000,120,3279.21,2021-05-02,2029-03-01,Active
P00735,C00735,Car Insurance,100000,12,4218.25,2020-09-09,2026-08-19,Defaulted
P00742,C00742,Personal Loan,100000,24,9005.63,2023-04-06,2029-06-11,Active
P00744,C00744,Home Loan,500000,120,3986.4,2024-03-04,2028-06-07,Closed
P00751,C00751,Car Insurance,500000,60,5025.55,2020-11-10,2028-04-23,Defaulted
P00752,C00752,Health Insurance,250000,60,2717.28,2021-02-05,2026-03-19,Active
P00753,C00753,Home Loan,50000,60,9122.65,2021-06-21,2027-01-16,Closed
P00759,C00759,Health Insurance,500000,120,1802.13,2021-10-01,2025-10-24,Active
P00760,C00760,Car Insurance,250000,24,9143.51,2022-03-04,2027-10-10,Defaulted
P00764,C00764,Car Insurance,50000,24,7446.3,2024-05-06,2028-08-18,Active
P00767,C00767,Home Loan,100000,24,4674.43,2021-11-03,2027-04-07,Active
P00768,C00768,Home Loan,100000,12,3849.18,2020-12-22,2027-08-29,Active
P00771,C00771,Health Insurance,50000,120,6397.29,2021-10-25,2030-06-30,Defaulted
P00773,C00773,Home Loan,250000,12,7621.79,2022-10-03,2027-04-02,Defaulted
P00774,C00774,Health Insurance,100000,60,7679.22,2021-05-02,2026-04-27,Closed
P00778,C00778,Personal Loan,100000,12,3406.23,2021-07-13,2029-02-21,Closed
P00781,C00781,Car Insurance,50000,60,8308.71,2021-07-13,2027-06-15,Closed
P00782,C00782,Home Loan,100000,12,8061.97,2022-12-13,2028-11-27,Active
P00784,C00784,Car Insurance,50000,120,5308.74,2023-10-15,2030-07-13,Closed
P00788,C00788,Personal Loan,250000,24,2973.79,2020-10-13,2028-12-14,Defaulted
P00789,C00789,Home Loan,500000,24,8551.32,2022-06-02,2028-01-08,Defaulted
P00790,C00790,Health Insurance,50000,24,7589.75,2021-12-27,2027-05-01,Defaulted
P00794,C00794,Personal Loan,100000,24,5504.69,2022-12-07,2025-08-27,Closed
P00796,C00796,Personal Loan,500000,12,5262.91,2022-02-24,2026-06-26,Defaulted
P00797,C00797,Personal Loan,50000,120,3171.83,2020-12-03,2029-10-06,Defaulted
P00799,C00799,Health Insurance,500000,120,7103.38,2023-05-18,2029-05-03,Active
P00801,C00801,Personal Loan,250000,60,6040.79,2022-03-11,2030-04-27,Defaulted
P00805,C00805,Personal Loan,250000,24,2250.84,2024-03-26,2028-03-23,Defaulted
P00807,C00807,Car Insurance,100000,120,6050.65,2021-01-31,2027-03-07,Closed
P00808,C00808,Health Insurance,100000,60,4582.86,2020-10-14,2025-10-10,Defaulted
P00818,C00818,Personal Loan,100000,24,9849.01,2022-11-26,2027-04-09,Closed
P00819,C00819,Home Loan,50000,60,4318.29,2021-01-05,2028-07-17,Active
P00822,C00822,Home Loan,250000,12,2871.0,2024-06-08,2028-10-06,Active
P00825,C00825,Home Loan,250000,120,6091.07,2022-05-26,2026-06-27,Active
P00828,C00828,Car Insurance,500000,12,2287.31,2021-08-02,2026-01-03,Active
P00829,C00829,Home Loan,250000,24,8356.94,2021-11-05,2028-03-20,Defaulted
P00833,C00833,Home Loan,500000,120,8495.1,2023-09-21,2029-06-22,Closed
P00838,C00838,Personal Loan,100000,12,8672.67,2021-12-03,2030-02-11,Active
P00839,C00839,Health Insurance,50000,24,7215.04,2020-07-31,2029-12-22,Active
P00840,C00840,Personal Loan,250000,12,2564.72,2023-06-14,2029-11-13,Defaulted
P00842,C00842,Health Insurance,50000,24,1663.26,2022-01-18,2027-04-03,Defaulted
P00843,C00843,Car Insurance,250000,60,7774.4,2023-04-26,2025-10-17,Closed
