TransactionID,AccountID,Date,Type,Amount,Description,Channel
T000085,A01861,2025-02-04,Credit,9785.85,Online Transfer,Branch
T000086,A02635,2025-04-23,Debit,12626.31,ATM Withdrawal,ATM
T000087,A09595,2025-02-06,Debit,6342.64,Bill Payment,Online
T000088,A00431,2025-04-12,Debit,29051.18,Online Transfer,Mobile App
T000089,A05267,2024-12-16,Credit,13048.62,ATM Withdrawal,Online
T000090,A04929,2025-04-18,Credit,14781.64,Salary Credit,Branch
T000091,A05989,2024-10-11,Debit,41971.92,ATM Withdrawal,Online
T000092,A06068,2025-03-19,Debit,3535.08,Bill Payment,ATM
T000093,A01554,2025-06-28,Debit,18901.15,ATM Withdrawal,Branch
T000094,A04778,2024-12-27,Debit,18815.95,Bill Payment,ATM
T000095,A05502,2025-06-11,Credit,14387.89,ATM Withdrawal,Branch
T000096,A09695,2025-07-23,Credit,47184.17,Bill Payment,Mobile App
T000097,A09337,2025-02-24,Debit,47444.35,ATM Withdrawal,Mobile App
T000098,A02649,2024-08-27,Debit,13779.49,Online Transfer,Branch
T000099,A03779,2024-09-07,Credit,8553.81,Online Transfer,ATM
T000100,A09487,2025-02-07,Debit,12904.71,Online Transfer,Mobile App
T000101,A08977,2024-08-26,Credit,8825.42,ATM Withdrawal,Mobile App
T000102,A09615,2025-02-08,Credit,15396.11,Salary Credit,Branch
T000103,A09949,2025-01-21,Credit,42698.59,ATM Withdrawal,Branch
T000104,A06235,2025-02-21,Debit,36053.16,Salary Credit,Branch
T000105,A09894,2025-03-29,Debit,6276.67,Bill Payment,Mobile App
T000106,A09056,2025-03-29,Debit,42199.8,Bill Payment,ATM
T000107,A06326,2025-05-04,Debit,33407.71,Bill Payment,Online
T000108,A02707,2024-09-21,Credit,19845.36,Salary Credit,Branch
T000109,A06592,2024-10-04,Credit,18896.3,Online Transfer,Mobile App
T000110,A05497,2025-05-24,Credit,25165.75,Bill Payment,Online
T000111,A05174,2024-09-29,Debit,28855.22,ATM Withdrawal,Mobile App
T000112,A06385,2024-10-06,Debit,49317.27,Online Transfer,Mobile App
T000113,A01495,2025-05-09,Credit,1313.69,ATM Withdrawal,Mobile App
T000114,A01129,2025-06-04,Credit,16831.86,Bill Payment,Mobile App
T000115,A00083,2024-12-14,Debit,6607.4,Bill Payment,Branch
T000116,A08173,2024-10-21,Debit,47861.91,Online Transfer,ATM
T000117,A05089,2025-05-06,Debit,45322.31,Bill Payment,Branch
T000118,A01291,2024-12-12,Debit,47875.14,Salary Credit,Online
T000119,A05398,2025-04-25,Debit,48238.64,ATM Withdrawal,ATM
T000120,A09765,2024-09-25,Credit,14473.25,Online Transfer,Mobile App
T000121,A01352,2025-06-13,Debit,37581.4,Salary Credit,Online
T000122,A09174,2024-08-19,Credit,24622.87,ATM Withdrawal,Online
T000123,A01402,2025-02-05,Debit,34804.59,ATM Withdrawal,ATM
T000124,A08775,2024-12-08,Credit,751.69,Bill Payment,ATM
T000125,A00227,2024-08-13,Debit,1892.58,Online Transfer,Mobile App
T000126,A04101,2025-06-04,Credit,12357.58,Online Transfer,Online
T000127,A03041,2024-09-13,Debit,44499.16,Bill Payment,ATM
T000128,A06290,2024-08-16,Debit,41228.9,Salary Credit,ATM
T000129,A05032,2025-04-23,Debit,15607.69,Online Transfer,Mobile App
T000130,A05116,2025-03-22,Debit,32072.35,Online Transfer,Online
T000131,A00820,2024-09-11,Credit,11171.62,ATM Withdrawal,Online
T000132,A05735,2025-07-11,Credit,47154.56,ATM Withdrawal,Mobile App
T000133,A05240,2024-11-23,Debit,13223.95,Online Transfer,ATM
T000134,A06664,2025-02-25,Credit,30632.61,Online Transfer,Online
T000135,A08645,2024-09-17,Credit,14134.72,Online Transfer,ATM
T000136,A08905,2024-09-13,Credit,20785.49,Online Transfer,Online
T000137,A04652,2024-11-16,Debit,43590.36,Online Transfer,Online
T000138,A09997,2025-07-19,Credit,15616.26,Online Transfer,Branch
T000139,A08806,2024-09-16,Debit,35401.39,ATM Withdrawal,ATM
T000140,A04214,2025-07-08,Credit,44277.68,Online Transfer,Mobile App
T000141,A08394,2024-12-02,Credit,29004.52,Bill Payment,ATM
T000142,A03943,2024-07-25,Credit,22624.64,Salary Credit,Mobile App
T000143,A09258,2025-05-14,Credit,15481.22,Bill Payment,Mobile App
T000144,A00562,2025-05-22,Credit,23785.79,Salary Credit,Mobile App
T000145,A01618,2025-02-14,Debit,38928.48,Online Transfer,Mobile App
T000146,A09060,2025-05-20,Debit,29144.16,Bill Payment,Mobile App
T000147,A04241,2024-10-19,Credit,39679.54,Online Transfer,Mobile App
T000148,A00848,2025-04-27,Debit,12746.74,Online Transfer,Branch
T000149,A06890,2025-03-15,Debit,14731.02,Bill Payment,ATM
T000150,A02399,2024-08-07,Debit,44356.75,ATM Withdrawal,ATM
T000151,A01626,2025-02-15,Debit,15504.36,Bill Payment,Mobile App
T000152,A02696,2025-07-18,Credit,12442.79,ATM Withdrawal,Online
T000153,A07647,2025-03-25,Debit,17948.66,Salary Credit,ATM
T000154,A01417,2025-06-05,Debit,27080.81,Salary Credit,Branch
T000155,A10000,2025-04-12,Credit,30463.79,Online Transfer,Branch
T000156,A09583,2025-01-03,Debit,7485.9,Salary Credit,Branch
T000157,A00405,2025-02-13,Debit,23636.06,Online Transfer,Mobile App
T000158,A03487,2024-10-28,Debit,47635.31,Salary Credit,Online
T000159,A07244,2024-11-11,Credit,31648.12,Online Transfer,Online
T000160,A04516,2024-11-17,Debit,31364.91,Online Transfer,Branch
T000161,A06081,2025-04-18,Debit,42410.07,ATM Withdrawal,Online
T000162,A00130,2025-06-13,Credit,218.18,ATM Withdrawal,Branch
T000163,A06537,2025-04-30,Credit,47533.49,Salary Credit,Online
T000164,A04429,2025-03-17,Debit,47854.7,Bill Payment,Branch
T000165,A05002,2025-07-03,Debit,14293.23,ATM Withdrawal,Online
T000166,A08259,2025-04-25,Debit,1680.76,ATM Withdrawal,Mobile App
T000167,A01465,2024-11-17,Credit,14197.36,ATM Withdrawal,Mobile App
T000168,A08612,2025-03-27,Debit,6264.51,Bill Payment,Online
T000169,A04237,2025-01-02,Debit,7769.75,Salary Credit,Branch
T000170,A00406,2024-08-30,Debit,2569.79,Online Transfer,Mobile App
T000171,A08753,2024-09-01,Credit,35033.88,Online Transfer,ATM
T000172,A07336,2025-03-28,Credit,23748.89,Online Transfer,ATM
T000173,A09703,2024-08-12,Credit,2639.89,Salary Credit,ATM
T000174,A06635,2025-03-02,Debit,17639.2,Online Transfer,Branch
T000175,A06431,2025-01-25,Debit,22007.37,Online Transfer,Branch
T000176,A09473,2025-05-09,Credit,30139.05,ATM Withdrawal,ATM
T000177,A04548,2024-08-08,Debit,24795.78,Salary Credit,ATM
T000178,A06465,2025-05-23,Debit,40881.06,Bill Payment,Mobile App
T000179,A07433,2024-12-29,Credit,46272.42,Bill Payment,Mobile App
T000180,A04149,2024-10-11,Debit,45972.26,Bill Payment,Mobile App
T000181,A07073,2025-05-26,Credit,31447.76,Online Transfer,Mobile App
T000182,A07414,2025-03-22,Credit,47831.11,Online Transfer,Online
T000183,A03745,2024-11-06,Credit,46339.93,ATM Withdrawal,Online
T000184,A00391,2025-06-17,Credit,14835.95,Salary Credit,Mobile App
T000185,A06119,2024-09-19,Debit,5779.97,Salary Credit,ATM
T000186,A00014,2025-07-24,Credit,6385.63,Salary Credit,Branch
T000187,A01624,2025-04-22,Debit,10947.99,Salary Credit,Branch
T000188,A09155,2025-01-21,Debit,46722.05,Bill Payment,Branch
T000189,A02752,2025-03-21,Debit,18162.84,Salary Credit,Branch
T000190,A01986,2025-02-22,Debit,16780.12,Salary Credit,ATM
T000191,A07600,2024-10-25,Credit,101.9,Online Transfer,Branch
T000192,A03871,2024-09-17,Credit,27579.5,Bill Payment,ATM
T000193,A04063,2025-06-11,Credit,12202.34,Salary Credit,Mobile App
T000194,A09960,2025-07-23,Credit,20319.64,Bill Payment,Online
T000195,A00331,2024-12-08,Credit,39979.55,Online Transfer,ATM
T000196,A02230,2025-06-06,Credit,17915.7,ATM Withdrawal,Branch
T000197,A00038,2024-08-25,Debit,16949.73,Bill Payment,Mobile App
T000198,A03381,2024-09-27,Debit,38918.8,Online Transfer,ATM
T000199,A06523,2025-03-26,Debit,35717.0,Online Transfer,Branch
T000200,A01363,2025-02-02,Credit,33784.28,Bill Payment,Mobile App
T000201,A01414,2024-11-28,Credit,25280.68,Online Transfer,Branch
T000202,A01080,2025-05-22,Debit,32807.31,Salary Credit,ATM
T000203,A05831,2024-11-19,Debit,20561.36,Salary Credit,Online
T000204,A09273,2025-02-04,Debit,45395.28,Online Transfer,Branch
T000205,A05734,2025-02-15,Debit,18525.43,Online Transfer,Branch
T000206,A05777,2024-11-06,Credit,29099.54,Bill Payment,Mobile App
T000207,A02646,2025-06-23,Credit,8380.29,Bill Payment,Branch
T000208,A01329,2024-08-01,Credit,25669.75,Online Transfer,Branch
T000209,A07183,2024-10-24,Credit,47341.56,ATM Withdrawal,Online
T000210,A05322,2025-04-26,Credit,29387.98,Bill Payment,Branch
T000211,A09346,2024-10-11,Debit,42535.95,ATM Withdrawal,Branch
T000212,A03110,2024-11-04,Debit,39187.79,Online Transfer,Online
T000213,A05100,2024-10-14,Credit,48974.79,Salary Credit,ATM
T000214,A07791,2024-09-12,Credit,43799.56,ATM Withdrawal,ATM
T000215,A06194,2024-10-28,Debit,25737.83,Bill Payment,Mobile App
T000216,A01599,2025-03-02,Debit,37627.9,Bill Payment,Online
T000217,A06104,2024-11-29,Debit,23998.57,ATM Withdrawal,Branch
T000218,A03528,2025-03-02,Debit,38420.93,Salary Credit,Mobile App
T000219,A00912,2025-07-10,Credit,4642.5,ATM Withdrawal,Online
T000220,A00160,2024-09-24,Credit,27571.14,Salary Credit,ATM
T000221,A04487,2024-12-24,Credit,411.66,ATM Withdrawal,Online
T000222,A08681,2025-05-11,Debit,30579.83,Bill Payment,Mobile App
T000223,A01962,2025-07-17,Debit,18442.28,Salary Credit,ATM
T000224,A05903,2024-08-16,Debit,38540.0,ATM Withdrawal,Branch
T000225,A02406,2024-11-22,Debit,43946.84,Bill Payment,ATM
T000226,A07999,2024-10-25,Credit,20318.55,Bill Payment,ATM
T000227,A02864,2024-08-05,Debit,30954.01,Bill Payment,Mobile App
T000228,A03670,2025-03-25,Debit,36599.52,Bill Payment,Mobile App
T000229,A02556,2025-04-26,Credit,23988.83,Bill Payment,Branch
T000230,A03143,2024-08-24,Credit,23594.88,Bill Payment,Mobile App
T000231,A00243,2025-02-15,Credit,47767.98,ATM Withdrawal,Online
T000232,A00097,2025-01-19,Credit,9860.32,Bill Payment,Branch
T000233,A04861,2025-02-16,Credit,32416.86,Salary Credit,ATM
T000234,A05600,2024-12-01,Debit,12304.98,Salary Credit,Mobile App
T000235,A09060,2025-02-20,Debit,3379.1,Online Transfer,Branch
T000236,A00548,2024-12-12,Debit,16449.39,Online Transfer,ATM
T000237,A07903,2025-02-12,Credit,10205.74,ATM Withdrawal,ATM
T000238,A05728,2024-12-09,Debit,45632.12,Online Transfer,ATM
T000239,A03963,2025-07-09,Credit,43591.22,Salary Credit,Online
T000240,A03079,2024-11-26,Credit,19267.17,Salary Credit,Mobile App
T000241,A04783,2025-02-01,Debit,49460.45,Online Transfer,Mobile App
T000242,A08019,2024-11-02,Credit,3164.78,ATM Withdrawal,Branch
T000243,A01281,2025-03-29,Debit,3846.46,Salary Credit,ATM
T000244,A02542,2025-05-03,Debit,11853.62,ATM Withdrawal,Online
T000245,A07390,2024-10-25,Debit,36187.57,Bill Payment,Branch
T000246,A06538,2024-10-31,Debit,34752.9,Online Transfer,Mobile App
T000247,A07912,2025-01-02,Credit,43179.22,Bill Payment,Mobile App
T000248,A01649,2024-09-13,Credit,31158.2,Bill Payment,Mobile App
T000249,A09295,2024-09-18,Debit,9881.1,Salary Credit,Branch
T000250,A05854,2025-04-24,Debit,16405.43,Bill Payment,Mobile App
T000251,A05601,2024-09-12,Credit,14831.89,Salary Credit,Mobile App
T000252,A08723,2024-08-21,Credit,41524.79,ATM Withdrawal,Branch
T000253,A07057,2024-07-30,Debit,15365.27,Bill Payment,Mobile App
T000254,A01270,2025-06-21,Credit,32570.19,Online Transfer,Online
T000255,A08210,2024-11-29,Credit,47862.37,Online Transfer,Branch
T000256,A08558,2025-03-16,Debit,46257.18,Bill Payment,Mobile App
T000257,A03798,2025-06-07,Credit,16021.81,Online Transfer,Mobile App
T000258,A08843,2025-06-16,Debit,36694.24,Salary Credit,Mobile App
T000259,A03835,2024-10-02,Debit,47289.64,Salary Credit,Online
T000260,A01654,2025-01-30,Credit,18273.34,Bill Payment,Mobile App
T000261,A06731,2025-01-06,Credit,15302.33,Online Transfer,Online
T000262,A07561,2024-11-10,Debit,3468.59,Bill Payment,Mobile App
T000263,A02964,2024-09-08,Credit,38198.03,ATM Withdrawal,Online
T000264,A00375,2025-05-22,Debit,24907.73,Salary Credit,Branch
T000265,A02340,2024-11-06,Credit,49269.82,Salary Credit,Online
T000266,A05834,2025-02-17,Credit,4080.53,Online Transfer,Branch
T000267,A08752,2025-04-16,Debit,20404.45,Online Transfer,Online
T000268,A02257,2025-01-31,Debit,39063.42,Online Transfer,ATM
T000269,A05051,2025-01-17,Credit,12206.77,Bill Payment,Mobile App
T000270,A09502,2025-06-06,Debit,2603.18,ATM Withdrawal,Branch
T000271,A01924,2024-12-02,Credit,15976.83,Salary Credit,Mobile App
T000272,A07208,2025-04-04,Credit,42807.88,Salary Credit,ATM
T000273,A02349,2025-07-07,Credit,30890.14,Online Transfer,Online
T000274,A02769,2024-10-17,Credit,14354.89,ATM Withdrawal,Branch
T000275,A05596,2025-03-12,Credit,1178.3,Bill Payment,Branch
T000276,A08828,2025-03-05,Debit,18477.84,Salary Credit,Online
T000277,A06877,2025-07-17,Credit,47309.28,Bill Payment,Mobile App
T000278,A02079,2025-07-24,Credit,20426.52,Bill Payment,Online
T000279,A01389,2024-09-09,Credit,44879.23,Bill Payment,Mobile App
T000280,A02225,2024-12-06,Debit,41971.97,Online Transfer,Online
T000281,A01025,2024-12-25,Credit,1647.31,ATM Withdrawal,Mobile App
T000282,A02908,2024-08-17,Credit,23651.34,Online Transfer,Branch
T000283,A03740,2024-10-15,Debit,31530.79,ATM Withdrawal,Online
T000284,A01001,2025-07-17,Debit,44895.87,Online Transfer,Branch
T000285,A05753,2025-03-25,Credit,25356.28,ATM Withdrawal,ATM
T000286,A08997,2024-10-31,Credit,6458.24,ATM Withdrawal,ATM
T000287,A09572,2024-08-27,Credit,38542.23,Salary Credit,Branch
T000288,A04648,2024-09-07,Credit,13378.81,Online Transfer,Mobile App
T000289,A09218,2025-01-28,Credit,22938.65,Online Transfer,Mobile App
T000290,A01794,2024-07-26,Debit,11141.5,Online Transfer,Branch
T000291,A04031,2024-09-19,Credit,10827.52,Salary Credit,Mobile App
T000292,A07137,2025-02-04,Credit,35524.37,Bill Payment,Branch
T000293,A06553,2025-02-11,Debit,34124.93,Salary Credit,Branch
T000294,A07079,2024-11-12,Credit,25783.82,Online Transfer,ATM
T000295,A05298,2025-05-09,Credit,48039.63,ATM Withdrawal,Branch
T000296,A05171,2024-08-15,Credit,36530.5,Online Transfer,Online
T000297,A01995,2024-10-18,Debit,42291.91,Online Transfer,Branch
T000298,A04336,2025-03-12,Debit,13805.35,ATM Withdrawal,ATM
T000299,A06685,2025-01-13,Debit,29334.3,Bill Payment,Branch
T000300,A02756,2025-01-23,Debit,48019.99,Online Transfer,Online
T000301,A06155,2024-07-27,Debit,42378.38,Online Transfer,Branch
T000302,A06835,2025-06-08,Debit,15407.6,ATM Withdrawal,Online
T000303,A04501,2025-05-28,Credit,28139.72,Bill Payment,Online
T000304,A02924,2025-06-10,Credit,9346.09,Online Transfer,Mobile App
T000305,A01074,2025-04-09,Credit,6704.64,Salary Credit,Mobile App
T000306,A06861,2024-12-20,Credit,4066.18,Bill Payment,Branch
T000307,A07373,2025-01-04,Credit,8745.56,Online Transfer,Branch
T000308,A02850,2024-11-28,Credit,33083.41,Bill Payment,Online
T000309,A07651,2024-09-22,Debit,49274.81,Salary Credit,Mobile App
T000310,A04780,2025-03-28,Credit,26018.59,Salary Credit,ATM
T000311,A06809,2025-02-17,Credit,21493.45,Bill Payment,Online
T000312,A09175,2024-12-09,Credit,41122.93,Salary Credit,Online
T000313,A02982,2025-03-31,Credit,21849.8,Bill Payment,Mobile App
T000314,A06616,2025-01-25,Credit,23655.09,Bill Payment,Branch
T000315,A08711,2024-10-14,Debit,49696.27,Online Transfer,Online
T000316,A04958,2024-08-29,Credit,30004.11,Online Transfer,Branch
T000317,A01276,2025-02-05,Debit,7744.33,Bill Payment,ATM
T000318,A02578,2025-02-05,Debit,25106.73,Salary Credit,Branch
T000319,A08044,2025-04-10,Credit,30774.35,ATM Withdrawal,Mobile App
T000320,A04747,2025-05-03,Credit,32028.84,Bill Payment,ATM
T000321,A04745,2025-06-29,Credit,49157.22,Salary Credit,ATM
T000322,A04070,2025-07-22,Debit,7998.46,Bill Payment,Branch
T000323,A04827,2025-04-17,Credit,34805.51,Bill Payment,ATM
T000324,A02492,2025-01-08,Debit,39337.15,Online Transfer,Branch
T000325,A00895,2024-09-30,Debit,15666.79,Bill Payment,ATM
T000326,A05334,2024-10-11,Debit,18406.36,Bill Payment,Branch
T000327,A06961,2024-10-24,Credit,39920.17,ATM Withdrawal,Mobile App
T000328,A02403,2025-03-09,Debit,35878.54,Bill Payment,Mobile App
T000329,A00532,2024-12-06,Debit,38467.32,Bill Payment,ATM
T000330,A08051,2025-04-24,Credit,11535.55,Online Transfer,ATM
T000331,A07023,2025-05-12,Debit,7884.9,Bill Payment,Branch
T000332,A08105,2025-03-08,Debit,26091.35,Bill Payment,Branch
T000333,A01370,2024-12-12,Credit,43606.9,ATM Withdrawal,Online
T000334,A00490,2025-03-02,Debit,4336.55,Online Transfer,Online
T000335,A04017,2025-05-06,Debit,22099.74,Online Transfer,Branch
T000336,A00553,2025-06-06,Credit,3110.28,Online Transfer,Mobile App
T000337,A02649,2025-03-12,Debit,24457.92,Salary Credit,ATM
T000338,A09424,2025-05-14,Credit,7265.95,Online Transfer,ATM
T000339,A00114,2024-09-06,Credit,33702.22,ATM Withdrawal,Online
T000340,A07904,2025-05-05,Credit,28046.25,Bill Payment,ATM
T000341,A09406,2025-01-07,Credit,37750.16,ATM Withdrawal,ATM
T000342,A04829,2024-09-18,Credit,13814.81,Online Transfer,ATM
T000343,A06897,2024-07-29,Credit,13273.79,ATM Withdrawal,Mobile App
T000344,A04302,2025-04-03,Debit,31034.89,ATM Withdrawal,Branch
T000345,A07669,2024-12-21,Debit,31897.84,Online Transfer,ATM
T000346,A04126,2024-12-08,Debit,47664.4,Salary Credit,ATM
T000347,A02138,2024-12-31,Credit,25763.04,Salary Credit,Online
T000348,A07342,2024-11-23,Credit,49468.68,ATM Withdrawal,Branch
T000349,A00186,2024-12-22,Credit,31813.98,Online Transfer,Online
T000350,A03703,2025-04-20,Debit,45763.71,ATM Withdrawal,Mobile App
T000351,A03564,2024-12-11,Debit,14065.21,Online Transfer,Branch
T000352,A01884,2025-07-04,Debit,12343.66,Online Transfer,Online
T000353,A01232,2025-03-04,Credit,38749.5,Online Transfer,ATM
T000354,A08282,2025-04-25,Credit,23078.71,Salary Credit,ATM
T000355,A00989,2025-03-29,Debit,14805.5,ATM Withdrawal,Branch
T000356,A07800,2025-03-05,Debit,33435.61,ATM Withdrawal,Branch
T000357,A04580,2024-08-29,Credit,16630.9,Salary Credit,Online
T000358,A07682,2024-07-30,Debit,25586.78,Salary Credit,ATM
T000359,A01770,2025-07-16,Debit,37385.4,ATM Withdrawal,Branch
T000360,A09516,2025-05-04,Credit,26249.88,Bill Payment,Branch
T000361,A06682,2025-05-28,Debit,11905.67,Bill Payment,Online
T000362,A03390,2025-04-18,Debit,11810.4,Salary Credit,ATM
T000363,A02476,2025-01-05,Credit,27714.05,Online Transfer,Mobile App
T000364,A06957,2024-12-06,Credit,46541.52,ATM Withdrawal,Online
T000365,A04086,2024-08-01,Debit,3742.95,Online Transfer,ATM
T000366,A07293,2024-08-29,Debit,17492.92,Online Transfer,ATM
T000367,A04496,2025-03-17,Debit,12199.02,ATM Withdrawal,Branch
T000368,A08802,2025-07-19,Credit,26979.09,Salary Credit,Online
T000369,A02865,2024-09-07,Credit,7458.37,Bill Payment,Mobile App
T000370,A08231,2025-05-10,Debit,8945.87,ATM Withdrawal,ATM
T000371,A06444,2025-04-03,Credit,312.0,Online Transfer,Online
T000372,A05865,2025-01-26,Debit,22362.68,ATM Withdrawal,ATM
T000373,A06501,2025-03-03,Debit,44873.89,Online Transfer,Mobile App
T000374,A09544,2025-07-07,Credit,28788.01,Online Transfer,Mobile App
T000375,A08947,2024-12-28,Debit,49885.22,Online Transfer,Online
T000376,A04969,2024-10-11,Credit,33732.77,ATM Withdrawal,Mobile App
T000377,A04001,2024-10-22,Credit,48935.38,Online Transfer,ATM
T000378,A07680,2025-01-23,Credit,41423.2,ATM Withdrawal,Mobile App
T000379,A08863,2024-10-09,Credit,17802.45,Online Transfer,Mobile App
T000380,A01076,2024-08-16,Debit,24933.95,Salary Credit,Branch
T000381,A05103,2025-05-05,Debit,39812.65,Salary Credit,ATM
T000382,A06040,2024-09-17,Debit,49946.11,Bill Payment,ATM
T000383,A05951,2024-08-08,Debit,42913.9,ATM Withdrawal,Mobile App
T000384,A08251,2024-11-08,Credit,25266.53,Bill Payment,Mobile App
T000385,A00549,2025-03-08,Credit,41601.16,Online Transfer,Mobile App
T000386,A03215,2025-06-08,Debit,19391.14,ATM Withdrawal,Online
